asset_id,asset_name,asset_type,owner,department,criticality,criticality_score,operating_system
AST00057,HR-SW-0039,Switch,Thomas,HR,Medium,0.5,Arista EOS
AST00058,OPS-MOB-0140,Mobile Device,Jennifer,Operations,Low,0.25,iOS 17
AST00059,FIN-SW-0042,Switch,Brian,Finance,High,0.75,Arista EOS
AST00060,ENG-SW-0034,Switch,Katherine,Engineering,Critical,1.0,Cisco IOS
AST00061,SAL-SW-0016,Switch,Heather,Sales,Medium,0.5,Arista EOS
AST00062,LEG-DB-0098,Database,Jacob,Legal,Medium,0.5,Windows Server 2022
AST00063,IT-RTR-0084,Router,Sheila,IT,Low,0.25,Cisco IOS
AST00064,FIN-DB-0002,Database,Robert,Finance,High,0.75,Oracle Linux
AST00065,IT-SW-0016,Switch,Patrick,IT,Low,0.25,Arista EOS
AST00066,MKT-SRV-0103,Server,Jordan,Marketing,Low,0.25,Windows Server 2022
AST00067,HR-LAP-0044,Laptop,Guy,HR,Medium,0.5,Windows 11
AST00068,IT-PRT-0112,Printer,Victoria,IT,Low,0.25,Embedded Firmware
AST00069,LEG-MOB-0074,Mobile Device,Jamie,Legal,Medium,0.5,iOS 17
AST00070,OPS-DB-0041,Database,Richard,Operations,Medium,0.5,Windows Server 2022
AST00071,ENG-FW-0077,Firewall,Kathleen,Engineering,Low,0.25,PAN-OS
AST00072,ENG-FW-0014,Firewall,Joanna,Engineering,Medium,0.5,Cisco ASA OS
AST00073,HR-RTR-0038,Router,Donald,HR,Medium,0.5,Cisco IOS
AST00074,OPS-PRT-0040,Printer,Jay,Operations,Medium,0.5,Embedded Firmware
AST00075,MKT-RTR-0041,Router,Jill,Marketing,High,0.75,JunOS
AST00076,FIN-IOT-0105,IoT Device,Jennifer,Finance,Low,0.25,Embedded Firmware
AST00077,HR-SW-0012,Switch,Brandi,HR,Medium,0.5,Cisco IOS
AST00078,IT-PC-0083,Workstation,Kristina,IT,Medium,0.5,Windows 10
AST00079,OPS-SRV-0095,Server,Matthew,Operations,Low,0.25,Ubuntu Server 22.04
AST00080,IT-PRT-0024,Printer,Amanda,IT,Low,0.25,Embedded Firmware
AST00081,FIN-FW-0116,Firewall,Ryan,Finance,Medium,0.5,Cisco ASA OS
AST00082,HR-LAP-0014,Laptop,Jeffery,HR,High,0.75,macOS Ventura
AST00083,HR-PC-0063,Workstation,Lisa,HR,High,0.75,Ubuntu Linux
AST00084,IT-FW-0057,Firewall,Judith,IT,Low,0.25,Cisco ASA OS
AST00085,LEG-DB-0074,Database,Curtis,Legal,Medium,0.5,Ubuntu Server 22.04
AST00086,SAL-IOT-0036,IoT Device,Kayla,Sales,Low,0.25,Embedded Firmware
AST00087,MKT-PRT-0037,Printer,Kristin,Marketing,Low,0.25,Embedded Firmware
AST00088,IT-SRV-0043,Server,Rebekah,IT,High,0.75,Windows Server 2022
AST00089,FIN-FW-0115,Firewall,Wendy,Finance,Low,0.25,PAN-OS
AST00090,OPS-SW-0098,Switch,Melissa,Operations,Medium,0.5,Arista EOS
AST00091,FIN-SW-0108,Switch,Taylor,Finance,Critical,1.0,Arista EOS
AST00092,IT-SRV-0108,Server,Alexandra,IT,High,0.75,Ubuntu Server 22.04
AST00093,HR-IOT-0108,IoT Device,Brett,HR,Medium,0.5,Embedded Firmware
AST00094,OPS-LAP-0013,Laptop,Julia,Operations,Medium,0.5,macOS Ventura
AST00095,LEG-SRV-0037,Server,Brian,Legal,Critical,1.0,Windows Server 2019
AST00096,OPS-PRT-0050,Printer,Lynn,Operations,High,0.75,Embedded Firmware
AST00097,SAL-PC-0101,Workstation,Michael,Sales,Medium,0.5,Windows 11
AST00098,MKT-MOB-0096,Mobile Device,Scott,Marketing,Low,0.25,Android 14
AST00099,SAL-IOT-0085,IoT Device,Adam,Sales,Low,0.25,Embedded Firmware
AST00100,HR-MOB-0077,Mobile Device,Aaron,HR,Medium,0.5,Android 14
AST00101,HR-LAP-0010,Laptop,Robert,HR,Low,0.25,macOS Sonoma
AST00102,LEG-SRV-0060,Server,Amy,Legal,Medium,0.5,Windows Server 2022
AST00103,LEG-PC-0061,Workstation,Scott,Legal,Critical,1.0,Windows 11
AST00104,OPS-FW-0105,Firewall,Sean,Operations,Low,0.25,FortiOS
AST00105,IT-SRV-0093,Server,Kaylee,IT,Medium,0.5,Windows Server 2022
AST00106,FIN-SRV-0022,Server,Robert,Finance,Medium,0.5,Windows Server 2022
AST00107,LEG-SW-0030,Switch,Donald,Legal,High,0.75,Arista EOS
AST00108,FIN-IOT-0098,IoT Device,Juan,Finance,Critical,1.0,Embedded Firmware
AST00109,LEG-MOB-0110,Mobile Device,John,Legal,Low,0.25,iOS 17
AST00110,IT-FW-0031,Firewall,Courtney,IT,Medium,0.5,Cisco ASA OS
AST00111,FIN-LAP-0070,Laptop,Jeff,Finance,High,0.75,Windows 10
AST00112,MKT-SRV-0086,Server,Taylor,Marketing,Low,0.25,CentOS 7
AST00113,FIN-PC-0053,Workstation,Hannah,Finance,Critical,1.0,Windows 10
AST00114,OPS-FW-0025,Firewall,Kevin,Operations,Low,0.25,PAN-OS
AST00115,HR-SW-0108,Switch,Ryan,HR,Medium,0.5,Cisco IOS
AST00116,LEG-RTR-0052,Router,James,Legal,High,0.75,JunOS
AST00117,HR-FW-0115,Firewall,Sandy,HR,High,0.75,FortiOS
AST00118,SAL-PC-0008,Workstation,Lisa,Sales,Low,0.25,Ubuntu Linux
AST00119,MKT-PC-0033,Workstation,Jessica,Marketing,Medium,0.5,Windows 11
AST00120,IT-SRV-0061,Server,Kristin,IT,Low,0.25,CentOS 7
AST00121,HR-LAP-0102,Laptop,Cynthia,HR,High,0.75,macOS Sonoma
AST00122,LEG-FW-0048,Firewall,Robert,Legal,Low,0.25,FortiOS
AST00123,IT-FW-0105,Firewall,Jeanette,IT,Medium,0.5,PAN-OS
AST00124,MKT-MOB-0071,Mobile Device,Rodney,Marketing,High,0.75,iOS 17
AST00125,ENG-PRT-0041,Printer,Alexis,Engineering,High,0.75,Embedded Firmware
AST00126,OPS-RTR-0059,Router,James,Operations,Critical,1.0,Cisco IOS
AST00127,MKT-SRV-0046,Server,Latasha,Marketing,Low,0.25,Ubuntu Server 22.04
AST00128,FIN-RTR-0049,Router,Jeffrey,Finance,High,0.75,JunOS
AST00129,ENG-SW-0114,Switch,Tanya,Engineering,Low,0.25,Arista EOS
AST00130,LEG-PRT-0014,Printer,Tamara,Legal,Low,0.25,Embedded Firmware
AST00131,SAL-FW-0076,Firewall,Michael,Sales,Medium,0.5,FortiOS
AST00132,IT-DB-0046,Database,Alicia,IT,Medium,0.5,Windows Server 2022
AST00133,IT-LAP-0011,Laptop,Zachary,IT,Medium,0.5,macOS Ventura
AST00134,SAL-LAP-0063,Laptop,Patricia,Sales,Medium,0.5,macOS Ventura
AST00135,MKT-PRT-0094,Printer,Thomas,Marketing,Medium,0.5,Embedded Firmware
AST00136,IT-PC-0108,Workstation,Sara,IT,Medium,0.5,Ubuntu Linux
AST00137,HR-LAP-0001,Laptop,Michael,HR,High,0.75,Windows 10
AST00138,SAL-IOT-0071,IoT Device,Mark,Sales,Critical,1.0,Embedded Firmware
AST00139,HR-IOT-0019,IoT Device,Priscilla,HR,High,0.75,Embedded Firmware
AST00140,OPS-LAP-0109,Laptop,Brendan,Operations,Low,0.25,Windows 11
AST00141,IT-MOB-0004,Mobile Device,Lauren,IT,High,0.75,iOS 17
AST00142,LEG-RTR-0096,Router,James,Legal,Medium,0.5,Cisco IOS
AST00143,ENG-RTR-0078,Router,Todd,Engineering,Medium,0.5,Cisco IOS
AST00144,ENG-MOB-0001,Mobile Device,Bryan,Engineering,Medium,0.5,Android 14
AST00145,OPS-PC-0105,Workstation,Evelyn,Operations,Low,0.25,Windows 11
AST00146,MKT-RTR-0089,Router,Dakota,Marketing,Medium,0.5,JunOS
AST00147,ENG-PRT-0074,Printer,Richard,Engineering,Medium,0.5,Embedded Firmware
AST00148,FIN-IOT-0018,IoT Device,Christina,Finance,Low,0.25,Embedded Firmware
AST00149,ENG-PRT-0018,Printer,Erin,Engineering,Low,0.25,Embedded Firmware
AST00150,LEG-LAP-0062,Laptop,Erica,Legal,Low,0.25,Windows 10
AST00151,MKT-MOB-0072,Mobile Device,Kenneth,Marketing,Medium,0.5,Android 14
AST00152,ENG-SW-0079,Switch,Catherine,Engineering,Medium,0.5,Cisco IOS
AST00153,OPS-DB-0054,Database,Marcus,Operations,Medium,0.5,Ubuntu Server 22.04
AST00154,IT-LAP-0124,Laptop,Kelly,IT,Medium,0.5,Windows 11
AST00155,LEG-PC-0068,Workstation,Kristen,Legal,Low,0.25,Windows 11
AST00156,OPS-MOB-0099,Mobile Device,Charles,Operations,High,0.75,Android 14
AST00157,ENG-IOT-0052,IoT Device,James,Engineering,Medium,0.5,Embedded Firmware
AST00158,LEG-MOB-0001,Mobile Device,Nathan,Legal,Medium,0.5,Android 14
AST00159,SAL-LAP-0060,Laptop,David,Sales,Low,0.25,Windows 10
AST00160,IT-IOT-0046,IoT Device,Anthony,IT,Low,0.25,Embedded Firmware
AST00161,IT-FW-0001,Firewall,Bonnie,IT,Low,0.25,FortiOS
AST00162,HR-PRT-0041,Printer,Devin,HR,High,0.75,Embedded Firmware
AST00163,IT-SW-0104,Switch,Heather,IT,Low,0.25,Cisco IOS
AST00164,MKT-SRV-0012,Server,Mark,Marketing,Medium,0.5,Windows Server 2019
AST00165,ENG-LAP-0027,Laptop,Joanna,Engineering,Low,0.25,macOS Sonoma
AST00166,IT-MOB-0003,Mobile Device,Adam,IT,Medium,0.5,Android 14
AST00167,IT-IOT-0121,IoT Device,Hayley,IT,Medium,0.5,Embedded Firmware
AST00168,OPS-IOT-0104,IoT Device,Jill,Operations,High,0.75,Embedded Firmware
AST00169,FIN-IOT-0100,IoT Device,Randall,Finance,Medium,0.5,Embedded Firmware
AST00170,OPS-PC-0023,Workstation,Lisa,Operations,High,0.75,Windows 11
AST00171,MKT-FW-0011,Firewall,Christopher,Marketing,High,0.75,FortiOS
AST00172,SAL-PC-0102,Workstation,Mary,Sales,Medium,0.5,Ubuntu Linux
AST00173,FIN-DB-0078,Database,David,Finance,High,0.75,Ubuntu Server 22.04
AST00174,MKT-MOB-0084,Mobile Device,Laura,Marketing,Low,0.25,iOS 17
AST00175,IT-SRV-0003,Server,Joseph,IT,Medium,0.5,Windows Server 2022
AST00176,MKT-LAP-0002,Laptop,Nicole,Marketing,Medium,0.5,Windows 11
AST00177,ENG-RTR-0030,Router,Nathan,Engineering,Medium,0.5,JunOS
AST00178,HR-DB-0101,Database,Anthony,HR,Low,0.25,Ubuntu Server 22.04
AST00179,ENG-MOB-0062,Mobile Device,Rachel,Engineering,Medium,0.5,Android 14
AST00180,SAL-SW-0077,Switch,Sandra,Sales,Low,0.25,Cisco IOS
AST00181,IT-FW-0108,Firewall,Emily,IT,Critical,1.0,PAN-OS
AST00182,MKT-SRV-0041,Server,Nathan,Marketing,Medium,0.5,Ubuntu Server 22.04
AST00183,FIN-SW-0085,Switch,Walter,Finance,Medium,0.5,Arista EOS
AST00184,ENG-PRT-0054,Printer,Randy,Engineering,Low,0.25,Embedded Firmware
AST00185,FIN-MOB-0077,Mobile Device,Deanna,Finance,Low,0.25,Android 14
AST00186,IT-PRT-0097,Printer,Autumn,IT,High,0.75,Embedded Firmware
AST00187,LEG-SW-0013,Switch,Alexandria,Legal,Medium,0.5,Cisco IOS
AST00188,HR-SW-0091,Switch,Daniel,HR,High,0.75,Cisco IOS
AST00189,FIN-SRV-0025,Server,Rebecca,Finance,High,0.75,Ubuntu Server 22.04
AST00190,SAL-FW-0015,Firewall,Kathleen,Sales,Medium,0.5,Cisco ASA OS
AST00191,MKT-SW-0106,Switch,Jonathon,Marketing,Medium,0.5,Cisco IOS
AST00192,IT-SW-0041,Switch,Michael,IT,Low,0.25,Arista EOS
AST00193,LEG-DB-0050,Database,Kristi,Legal,High,0.75,Oracle Linux
AST00194,IT-PRT-0037,Printer,Carla,IT,High,0.75,Embedded Firmware
AST00195,SAL-RTR-0101,Router,Susan,Sales,Low,0.25,Cisco IOS
AST00196,LEG-LAP-0060,Laptop,Melinda,Legal,Low,0.25,macOS Ventura
AST00197,SAL-PRT-0015,Printer,Kristin,Sales,Medium,0.5,Embedded Firmware
AST00198,MKT-RTR-0044,Router,Robert,Marketing,High,0.75,JunOS
AST00199,MKT-MOB-0010,Mobile Device,Robert,Marketing,High,0.75,Android 14
AST00200,HR-DB-0042,Database,Michael,HR,Medium,0.5,Ubuntu Server 22.04
AST00201,IT-PRT-0063,Printer,Michael,IT,Medium,0.5,Embedded Firmware
AST00202,OPS-PC-0125,Workstation,Ryan,Operations,Low,0.25,Windows 11
AST00203,ENG-SRV-0005,Server,Thomas,Engineering,Low,0.25,Windows Server 2019
AST00204,MKT-LAP-0052,Laptop,Anna,Marketing,Medium,0.5,macOS Sonoma
AST00205,HR-SRV-0103,Server,Erin,HR,Low,0.25,Ubuntu Server 22.04
AST00206,SAL-PC-0003,Workstation,Jamie,Sales,Critical,1.0,Windows 11
AST00207,FIN-DB-0089,Database,Johnny,Finance,Medium,0.5,Ubuntu Server 22.04
AST00208,ENG-RTR-0007,Router,Andre,Engineering,Low,0.25,Cisco IOS
AST00209,LEG-LAP-0101,Laptop,Erin,Legal,High,0.75,macOS Sonoma
AST00210,ENG-FW-0005,Firewall,Marissa,Engineering,Low,0.25,Cisco ASA OS
AST00211,IT-SW-0044,Switch,Jamie,IT,High,0.75,Arista EOS
AST00212,HR-LAP-0111,Laptop,Kelly,HR,Medium,0.5,Windows 10
AST00213,LEG-PC-0100,Workstation,Donald,Legal,High,0.75,Windows 10
AST00214,SAL-DB-0124,Database,Anthony,Sales,High,0.75,Ubuntu Server 22.04
AST00215,ENG-DB-0071,Database,Donald,Engineering,High,0.75,Windows Server 2022
AST00216,ENG-MOB-0112,Mobile Device,Alexander,Engineering,Medium,0.5,Android 14
AST00217,MKT-SW-0073,Switch,John,Marketing,Medium,0.5,Arista EOS
AST00218,HR-DB-0076,Database,Laura,HR,Low,0.25,Windows Server 2022
AST00219,MKT-PRT-0087,Printer,Stephanie,Marketing,Low,0.25,Embedded Firmware
AST00220,OPS-PRT-0038,Printer,Monica,Operations,Medium,0.5,Embedded Firmware
AST00221,ENG-PC-0099,Workstation,Debra,Engineering,Low,0.25,Windows 11
AST00222,LEG-PRT-0087,Printer,Jesse,Legal,Low,0.25,Embedded Firmware
AST00223,FIN-RTR-0088,Router,Cindy,Finance,Critical,1.0,JunOS
AST00224,FIN-PRT-0015,Printer,Laura,Finance,High,0.75,Embedded Firmware
AST00225,HR-LAP-0130,Laptop,Michael,HR,Low,0.25,Windows 10
AST00226,SAL-SRV-0053,Server,Fernando,Sales,Medium,0.5,CentOS 7
AST00227,LEG-PRT-0113,Printer,Christina,Legal,Medium,0.5,Embedded Firmware
AST00228,SAL-IOT-0083,IoT Device,Michael,Sales,Critical,1.0,Embedded Firmware
AST00229,IT-SRV-0053,Server,Tanya,IT,Medium,0.5,Windows Server 2022
AST00230,FIN-PRT-0061,Printer,Aaron,Finance,Low,0.25,Embedded Firmware
AST00231,FIN-FW-0016,Firewall,Jenny,Finance,High,0.75,Cisco ASA OS
AST00232,FIN-MOB-0007,Mobile Device,Teresa,Finance,Medium,0.5,iOS 17
AST00233,OPS-IOT-0065,IoT Device,Bryan,Operations,Medium,0.5,Embedded Firmware
AST00234,HR-RTR-0079,Router,Sarah,HR,Medium,0.5,Cisco IOS
AST00235,SAL-DB-0049,Database,John,Sales,Medium,0.5,Windows Server 2022
AST00236,SAL-SRV-0068,Server,Brandy,Sales,Low,0.25,Ubuntu Server 22.04
AST00237,LEG-SW-0021,Switch,Alexander,Legal,Low,0.25,Cisco IOS
AST00238,ENG-FW-0041,Firewall,Adam,Engineering,Medium,0.5,FortiOS
AST00239,HR-FW-0097,Firewall,Wanda,HR,Critical,1.0,Cisco ASA OS
AST00240,HR-IOT-0104,IoT Device,Angelica,HR,High,0.75,Embedded Firmware
AST00241,SAL-MOB-0122,Mobile Device,Elizabeth,Sales,Medium,0.5,Android 14
AST00242,FIN-MOB-0049,Mobile Device,Christopher,Finance,High,0.75,iOS 17
AST00243,LEG-PRT-0001,Printer,Gary,Legal,Medium,0.5,Embedded Firmware
AST00244,OPS-FW-0066,Firewall,Julie,Operations,Medium,0.5,Cisco ASA OS
AST00245,FIN-FW-0025,Firewall,Kimberly,Finance,High,0.75,FortiOS
AST00246,IT-SRV-0019,Server,Tina,IT,High,0.75,CentOS 7
AST00247,IT-LAP-0094,Laptop,Patrick,IT,High,0.75,macOS Sonoma
AST00248,FIN-PC-0041,Workstation,Heather,Finance,Medium,0.5,Windows 10
AST00249,OPS-MOB-0036,Mobile Device,Julie,Operations,High,0.75,iOS 17
AST00250,OPS-IOT-0048,IoT Device,Ryan,Operations,Medium,0.5,Embedded Firmware
AST00251,OPS-SRV-0086,Server,Paul,Operations,High,0.75,CentOS 7
AST00252,SAL-RTR-0003,Router,Lori,Sales,High,0.75,JunOS
AST00253,SAL-MOB-0150,Mobile Device,Rachel,Sales,Low,0.25,Android 14
AST00254,FIN-FW-0085,Firewall,Sarah,Finance,High,0.75,FortiOS
AST00255,FIN-SRV-0045,Server,Stephen,Finance,Low,0.25,Windows Server 2022
AST00256,IT-PC-0087,Workstation,Dakota,IT,High,0.75,Ubuntu Linux
AST00257,HR-SRV-0045,Server,Scott,HR,Low,0.25,Windows Server 2019
AST00258,MKT-LAP-0114,Laptop,Paige,Marketing,Low,0.25,Windows 10
AST00259,MKT-RTR-0052,Router,Amanda,Marketing,High,0.75,JunOS
AST00260,LEG-FW-0037,Firewall,Donald,Legal,Critical,1.0,FortiOS
AST00261,MKT-MOB-0056,Mobile Device,Richard,Marketing,Low,0.25,Android 14
AST00262,LEG-SW-0093,Switch,Brenda,Legal,Low,0.25,Cisco IOS
AST00263,HR-LAP-0124,Laptop,Natalie,HR,Low,0.25,macOS Ventura
AST00264,ENG-SW-0029,Switch,Ryan,Engineering,Medium,0.5,Arista EOS
AST00265,SAL-RTR-0022,Router,Alexandra,Sales,Low,0.25,Cisco IOS
AST00266,MKT-PRT-0060,Printer,Christopher,Marketing,High,0.75,Embedded Firmware
AST00267,SAL-SRV-0114,Server,Eileen,Sales,Low,0.25,CentOS 7
AST00268,SAL-LAP-0050,Laptop,Christopher,Sales,High,0.75,macOS Sonoma
AST00269,OPS-PC-0042,Workstation,Edward,Operations,Medium,0.5,Windows 10
AST00270,ENG-DB-0017,Database,Elizabeth,Engineering,Medium,0.5,Oracle Linux
AST00271,LEG-MOB-0049,Mobile Device,Julie,Legal,Medium,0.5,iOS 17
AST00272,SAL-FW-0117,Firewall,Rachel,Sales,Critical,1.0,Cisco ASA OS
AST00273,FIN-PRT-0114,Printer,Lisa,Finance,Low,0.25,Embedded Firmware
AST00274,MKT-SW-0107,Switch,Michael,Marketing,High,0.75,Arista EOS
AST00275,OPS-DB-0008,Database,Russell,Operations,Medium,0.5,Ubuntu Server 22.04
AST00276,OPS-MOB-0086,Mobile Device,Megan,Operations,Medium,0.5,iOS 17
AST00277,OPS-RTR-0099,Router,James,Operations,Low,0.25,Cisco IOS
AST00278,LEG-DB-0019,Database,Sharon,Legal,Low,0.25,Oracle Linux
AST00279,SAL-PRT-0097,Printer,Robert,Sales,High,0.75,Embedded Firmware
AST00280,FIN-PRT-0059,Printer,Jessica,Finance,Low,0.25,Embedded Firmware
AST00281,HR-PRT-0078,Printer,Adam,HR,Medium,0.5,Embedded Firmware
AST00282,OPS-MOB-0001,Mobile Device,Christopher,Operations,Medium,0.5,iOS 17
AST00283,FIN-RTR-0092,Router,James,Finance,Low,0.25,Cisco IOS
AST00284,HR-FW-0149,Firewall,Gregory,HR,Medium,0.5,FortiOS
AST00285,LEG-FW-0111,Firewall,Corey,Legal,Medium,0.5,Cisco ASA OS
AST00286,HR-LAP-0097,Laptop,Melissa,HR,Low,0.25,Windows 11
AST00287,MKT-LAP-0048,Laptop,Aaron,Marketing,High,0.75,Windows 10
AST00288,MKT-MOB-0030,Mobile Device,Kevin,Marketing,High,0.75,iOS 17
AST00289,FIN-LAP-0039,Laptop,Carla,Finance,Medium,0.5,Windows 11
AST00290,LEG-RTR-0061,Router,Allison,Legal,Medium,0.5,Cisco IOS
AST00291,HR-RTR-0061,Router,John,HR,Medium,0.5,JunOS
AST00292,MKT-PRT-0078,Printer,Valerie,Marketing,Medium,0.5,Embedded Firmware
AST00293,ENG-DB-0098,Database,Carl,Engineering,High,0.75,Oracle Linux
AST00294,LEG-LAP-0031,Laptop,Tommy,Legal,Low,0.25,macOS Ventura
AST00295,FIN-IOT-0099,IoT Device,Mary,Finance,Medium,0.5,Embedded Firmware
AST00296,IT-MOB-0082,Mobile Device,Ronald,IT,Critical,1.0,iOS 17
AST00297,MKT-FW-0093,Firewall,Deanna,Marketing,Medium,0.5,Cisco ASA OS
AST00298,SAL-SW-0080,Switch,Timothy,Sales,Low,0.25,Arista EOS
AST00299,SAL-SW-0025,Switch,Taylor,Sales,Medium,0.5,Cisco IOS
AST00300,OPS-PC-0100,Workstation,Kelsey,Operations,Medium,0.5,Windows 11
AST00301,MKT-FW-0085,Firewall,Elizabeth,Marketing,High,0.75,PAN-OS
AST00302,IT-DB-0023,Database,Philip,IT,Low,0.25,Ubuntu Server 22.04
AST00303,LEG-MOB-0078,Mobile Device,Desiree,Legal,High,0.75,iOS 17
AST00304,MKT-DB-0042,Database,Timothy,Marketing,Low,0.25,Oracle Linux
AST00305,LEG-MOB-0002,Mobile Device,Mike,Legal,Medium,0.5,iOS 17
AST00306,FIN-PC-0082,Workstation,Daniel,Finance,Low,0.25,Windows 10
AST00307,HR-PC-0106,Workstation,Amy,HR,Medium,0.5,Windows 10
AST00308,FIN-DB-0069,Database,Robert,Finance,Low,0.25,Ubuntu Server 22.04
AST00309,MKT-LAP-0011,Laptop,Cody,Marketing,Low,0.25,Windows 10
AST00310,HR-MOB-0060,Mobile Device,Samuel,HR,Medium,0.5,Android 14
AST00311,OPS-PRT-0116,Printer,Mackenzie,Operations,High,0.75,Embedded Firmware
AST00312,SAL-MOB-0129,Mobile Device,Christopher,Sales,Low,0.25,iOS 17
AST00313,MKT-PRT-0099,Printer,Scott,Marketing,Medium,0.5,Embedded Firmware
AST00314,IT-DB-0094,Database,Lisa,IT,Medium,0.5,Oracle Linux
AST00315,IT-DB-0012,Database,Matthew,IT,Low,0.25,Ubuntu Server 22.04
AST00316,LEG-FW-0085,Firewall,Melissa,Legal,Medium,0.5,PAN-OS
AST00317,MKT-SW-0058,Switch,Crystal,Marketing,Low,0.25,Cisco IOS
AST00318,LEG-DB-0082,Database,Ryan,Legal,Low,0.25,Ubuntu Server 22.04
AST00319,ENG-SRV-0110,Server,Alec,Engineering,Low,0.25,Windows Server 2019
