mapped_event_type,mitre_id,technique_name,tactic
Configuration Change,T1547.004,Winlogon Helper DLL,Persistence
External / Not Directly Observed,T1683.002,Audio-Visual Content,Resource Development
Brute Force,T1528,Steal Application Access Token,Credential Access
DNS Tunneling Detected,T1568.002,Domain Generation Algorithms,Command And Control
Suspicious Process Execution,T1216.002,SyncAppvPublishingServer,Stealth
DNS Tunneling Detected,T1573.001,Symmetric Cryptography,Command And Control
Ransomware Detected,T1498.002,Reflection Amplification,Impact
Configuration Change,T1546.011,Application Shimming,Persistence
Privilege Escalation,T1546.010,AppInit DLLs,Privilege Escalation
Firewall Rule Change,T1685.002,Disable or Modify Cloud Log,Defense Impairment
Malware Detection,T1204.002,Malicious File,Execution
External / Not Directly Observed,T1583.005,Botnet,Resource Development
File Access,T1056.002,GUI Input Capture,Collection
DNS Tunneling Detected,T1090.002,External Proxy,Command And Control
Port Scan,T1597,Search Closed Sources,Reconnaissance
Privilege Escalation,T1547.001,Registry Run Keys / Startup Folder,Privilege Escalation
Suspicious Process Execution,T1480.002,Mutual Exclusion,Stealth
Brute Force,T1056.001,Keylogging,Credential Access
Suspicious Process Execution,T1564,Hide Artifacts,Stealth
Suspicious Process Execution,T1542.004,ROMMONkit,Stealth
Suspicious Process Execution,T1564.011,Ignore Process Interrupts,Stealth
Configuration Change,T1546.006,LC_LOAD_DYLIB Addition,Persistence
File Access,T1213.004,Customer Relationship Management Software,Collection
DNS Tunneling Detected,T1659,Content Injection,Command And Control
File Access,T1074.002,Remote Data Staging,Collection
Port Scan,T1046,Network Service Discovery,Discovery
Ransomware Detected,T1561,Disk Wipe,Impact
Lateral Movement Detected,T1072,Software Deployment Tools,Lateral Movement
Privilege Escalation,T1134.005,SID-History Injection,Privilege Escalation
Brute Force,T1552.007,Container API,Credential Access
Suspicious Process Execution,T1027.004,Compile After Delivery,Stealth
Malware Detection,T1559.002,Dynamic Data Exchange,Execution
File Access,T1557,Adversary-in-the-Middle,Collection
Port Scan,T1682,Query Public AI Services,Reconnaissance
Phishing Email,T1566.004,Spearphishing Voice,Initial Access
Malware Detection,T1197,BITS Jobs,Execution
Port Scan,T1012,Query Registry,Discovery
Suspicious Process Execution,T1070.005,Network Share Connection Removal,Stealth
DNS Tunneling Detected,T1573,Encrypted Channel,Command And Control
Suspicious Process Execution,T1055.012,Process Hollowing,Stealth
Privilege Escalation,T1548.006,TCC Manipulation,Privilege Escalation
Privilege Escalation,T1055,Process Injection,Privilege Escalation
Lateral Movement Detected,T1021.002,SMB/Windows Admin Shares,Lateral Movement
Suspicious Process Execution,T1055.008,Ptrace System Calls,Stealth
Malware Detection,T1574.012,COR_PROFILER,Execution
Data Exfiltration Attempt,T1029,Scheduled Transfer,Exfiltration
Configuration Change,T1556.004,Network Device Authentication,Persistence
Suspicious Process Execution,T1036,Masquerading,Stealth
Ransomware Detected,T1565,Data Manipulation,Impact
External / Not Directly Observed,T1586.001,Social Media Accounts,Resource Development
Configuration Change,T1053,Scheduled Task/Job,Persistence
Configuration Change,T1542.001,System Firmware,Persistence
Suspicious Process Execution,T1055,Process Injection,Stealth
Suspicious Process Execution,T1574.009,Path Interception by Unquoted Path,Stealth
Suspicious Process Execution,T1036.005,Match Legitimate Resource Name or Location,Stealth
Malware Detection,T1059.001,PowerShell,Execution
Ransomware Detected,T1499.002,Service Exhaustion Flood,Impact
Suspicious Process Execution,T1218.012,Verclsid,Stealth
File Access,T1056.004,Credential API Hooking,Collection
Suspicious Process Execution,T1574,Hijack Execution Flow,Stealth
Firewall Rule Change,T1222,File and Directory Permissions Modification,Defense Impairment
Data Exfiltration Attempt,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration
Brute Force,T1110,Brute Force,Credential Access
Phishing Email,T1133,External Remote Services,Initial Access
Malware Detection,T1127,Trusted Developer Utilities Proxy Execution,Execution
Ransomware Detected,T1499.001,OS Exhaustion Flood,Impact
Port Scan,T1016.001,Internet Connection Discovery,Discovery
Malware Detection,T1569.001,Launchctl,Execution
File Access,T1039,Data from Network Shared Drive,Collection
Port Scan,T1580,Cloud Infrastructure Discovery,Discovery
Configuration Change,T1543,Create or Modify System Process,Persistence
External / Not Directly Observed,T1584.005,Botnet,Resource Development
Malware Detection,T1106,Native API,Execution
Firewall Rule Change,T1484,Domain or Tenant Policy Modification,Defense Impairment
Configuration Change,T1546.017,Udev Rules,Persistence
Suspicious Process Execution,T1218.008,Odbcconf,Stealth
Privilege Escalation,T1055.009,Proc Memory,Privilege Escalation
Malware Detection,T1204.004,Malicious Copy and Paste,Execution
Suspicious Process Execution,T1036.009,Break Process Trees,Stealth
Lateral Movement Detected,T1550.002,Pass the Hash,Lateral Movement
Privilege Escalation,T1548.002,Bypass User Account Control,Privilege Escalation
Configuration Change,T1556.002,Password Filter DLL,Persistence
Data Exfiltration Attempt,T1567.002,Exfiltration to Cloud Storage,Exfiltration
Port Scan,T1594,Search Victim-Owned Websites,Reconnaissance
Port Scan,T1016,System Network Configuration Discovery,Discovery
Configuration Change,T1053.006,Systemd Timers,Persistence
DNS Tunneling Detected,T1571,Non-Standard Port,Command And Control
Brute Force,T1606,Forge Web Credentials,Credential Access
Lateral Movement Detected,T1210,Exploitation of Remote Services,Lateral Movement
Configuration Change,T1098.003,Additional Cloud Roles,Persistence
Ransomware Detected,T1496.002,Bandwidth Hijacking,Impact
Phishing Email,T1078.001,Default Accounts,Initial Access
Port Scan,T1652,Device Driver Discovery,Discovery
Ransomware Detected,T1499.003,Application Exhaustion Flood,Impact
Port Scan,T1596.002,WHOIS,Reconnaissance
Brute Force,T1556.006,Multi-Factor Authentication,Credential Access
Configuration Change,T1542.005,TFTP Boot,Persistence
Firewall Rule Change,T1553.004,Install Root Certificate,Defense Impairment
Configuration Change,T1668,Exclusive Control,Persistence
DNS Tunneling Detected,T1090.003,Multi-hop Proxy,Command And Control
Suspicious Process Execution,T1055.011,Extra Window Memory Injection,Stealth
Port Scan,T1595.001,Scanning IP Blocks,Reconnaissance
Privilege Escalation,T1037,Boot or Logon Initialization Scripts,Privilege Escalation
Ransomware Detected,T1529,System Shutdown/Reboot,Impact
Configuration Change,T1136.002,Domain Account,Persistence
Firewall Rule Change,T1686.003,Windows Host Firewall,Defense Impairment
Privilege Escalation,T1546.011,Application Shimming,Privilege Escalation
Configuration Change,T1078.003,Local Accounts,Persistence
Configuration Change,T1505.004,IIS Components,Persistence
Ransomware Detected,T1491,Defacement,Impact
Configuration Change,T1098.004,SSH Authorized Keys,Persistence
DNS Tunneling Detected,T1102.001,Dead Drop Resolver,Command And Control
Firewall Rule Change,T1685.005,Clear Windows Event Logs,Defense Impairment
Ransomware Detected,T1496,Resource Hijacking,Impact
Privilege Escalation,T1548,Abuse Elevation Control Mechanism,Privilege Escalation
Configuration Change,T1098,Account Manipulation,Persistence
Phishing Email,T1195,Supply Chain Compromise,Initial Access
External / Not Directly Observed,T1583.003,Virtual Private Server,Resource Development
Ransomware Detected,T1498,Network Denial of Service,Impact
Port Scan,T1595.003,Wordlist Scanning,Reconnaissance
Privilege Escalation,T1547.014,Active Setup,Privilege Escalation
Suspicious Process Execution,T1542,Pre-OS Boot,Stealth
Configuration Change,T1053.007,Container Orchestration Job,Persistence
Privilege Escalation,T1547.008,LSASS Driver,Privilege Escalation
Suspicious Process Execution,T1218.009,Regsvcs/Regasm,Stealth
Suspicious Process Execution,T1078.004,Cloud Accounts,Stealth
Brute Force,T1003.004,LSA Secrets,Credential Access
Suspicious Process Execution,T1218.013,Mavinject,Stealth
Firewall Rule Change,T1578.003,Delete Cloud Instance,Defense Impairment
Suspicious Process Execution,T1070.009,Clear Persistence,Stealth
DNS Tunneling Detected,T1205.001,Port Knocking,Command And Control
Brute Force,T1556.004,Network Device Authentication,Credential Access
Configuration Change,T1098.006,Additional Container Cluster Roles,Persistence
External / Not Directly Observed,T1585.003,Cloud Accounts,Resource Development
Brute Force,T1556.008,Network Provider DLL,Credential Access
Firewall Rule Change,T1553.003,SIP and Trust Provider Hijacking,Defense Impairment
File Access,T1530,Data from Cloud Storage,Collection
Port Scan,T1598.002,Spearphishing Attachment,Reconnaissance
Firewall Rule Change,T1666,Modify Cloud Resource Hierarchy,Defense Impairment
Malware Detection,T1204.003,Malicious Image,Execution
Configuration Change,T1543.003,Windows Service,Persistence
Configuration Change,T1505.003,Web Shell,Persistence
Brute Force,T1557.003,DHCP Spoofing,Credential Access
Firewall Rule Change,T1556.005,Reversible Encryption,Defense Impairment
File Access,T1056.003,Web Portal Capture,Collection
Port Scan,T1593.002,Search Engines,Reconnaissance
Lateral Movement Detected,T1021,Remote Services,Lateral Movement
DNS Tunneling Detected,T1219.002,Remote Desktop Software,Command And Control
Privilege Escalation,T1546.015,Component Object Model Hijacking,Privilege Escalation
Malware Detection,T1574.011,Services Registry Permissions Weakness,Execution
Configuration Change,T1078.002,Domain Accounts,Persistence
Brute Force,T1558.003,Kerberoasting,Credential Access
Port Scan,T1135,Network Share Discovery,Discovery
Port Scan,T1057,Process Discovery,Discovery
Configuration Change,T1546.015,Component Object Model Hijacking,Persistence
Suspicious Process Execution,T1574.012,COR_PROFILER,Stealth
Brute Force,T1556.005,Reversible Encryption,Credential Access
Suspicious Process Execution,T1684.001,Impersonation,Stealth
External / Not Directly Observed,T1650,Acquire Access,Resource Development
Suspicious Process Execution,T1564.012,File/Path Exclusions,Stealth
DNS Tunneling Detected,T1001,Data Obfuscation,Command And Control
Privilege Escalation,T1037.003,Network Logon Script,Privilege Escalation
Brute Force,T1212,Exploitation for Credential Access,Credential Access
Suspicious Process Execution,T1127.003,JamPlus,Stealth
DNS Tunneling Detected,T1090.004,Domain Fronting,Command And Control
Malware Detection,T1574.005,Executable Installer File Permissions Weakness,Execution
External / Not Directly Observed,T1585.001,Social Media Accounts,Resource Development
Suspicious Process Execution,T1542.005,TFTP Boot,Stealth
File Access,T1213.003,Code Repositories,Collection
Data Exfiltration Attempt,T1052.001,Exfiltration over USB,Exfiltration
Lateral Movement Detected,T1534,Internal Spearphishing,Lateral Movement
Suspicious Process Execution,T1574.014,AppDomainManager,Stealth
DNS Tunneling Detected,T1071.005,Publish/Subscribe Protocols,Command And Control
Suspicious Process Execution,T1197,BITS Jobs,Stealth
Suspicious Process Execution,T1205.001,Port Knocking,Stealth
Privilege Escalation,T1068,Exploitation for Privilege Escalation,Privilege Escalation
Malware Detection,T1053.007,Container Orchestration Job,Execution
Lateral Movement Detected,T1563.001,SSH Hijacking,Lateral Movement
Suspicious Process Execution,T1218.010,Regsvr32,Stealth
Phishing Email,T1566.001,Spearphishing Attachment,Initial Access
Suspicious Process Execution,T1070.004,File Deletion,Stealth
File Access,T1123,Audio Capture,Collection
Port Scan,T1589,Gather Victim Identity Information,Reconnaissance
Suspicious Process Execution,T1564.010,Process Argument Spoofing,Stealth
DNS Tunneling Detected,T1573.002,Asymmetric Cryptography,Command And Control
DNS Tunneling Detected,T1102.002,Bidirectional Communication,Command And Control
Malware Detection,T1059.007,JavaScript,Execution
Malware Detection,T1129,Shared Modules,Execution
External / Not Directly Observed,T1608.001,Upload Malware,Resource Development
Port Scan,T1597.001,Threat Intel Vendors,Reconnaissance
File Access,T1114,Email Collection,Collection
Firewall Rule Change,T1578.004,Revert Cloud Instance,Defense Impairment
Ransomware Detected,T1561.002,Disk Structure Wipe,Impact
External / Not Directly Observed,T1588.004,Digital Certificates,Resource Development
Port Scan,T1069.002,Domain Groups,Discovery
Configuration Change,T1556.003,Pluggable Authentication Modules,Persistence
Privilege Escalation,T1547.010,Port Monitors,Privilege Escalation
Port Scan,T1598.004,Spearphishing Voice,Reconnaissance
Configuration Change,T1037.005,Startup Items,Persistence
Configuration Change,T1547.009,Shortcut Modification,Persistence
Privilege Escalation,T1037.002,Login Hook,Privilege Escalation
Firewall Rule Change,T1556.008,Network Provider DLL,Defense Impairment
Privilege Escalation,T1546.001,Change Default File Association,Privilege Escalation
Privilege Escalation,T1546.004,Unix Shell Configuration Modification,Privilege Escalation
Firewall Rule Change,T1553.002,Code Signing,Defense Impairment
Port Scan,T1613,Container and Resource Discovery,Discovery
Privilege Escalation,T1078,Valid Accounts,Privilege Escalation
Suspicious Process Execution,T1055.015,ListPlanting,Stealth
DNS Tunneling Detected,T1219.003,Remote Access Hardware,Command And Control
Brute Force,T1552.002,Credentials in Registry,Credential Access
Configuration Change,T1546.002,Screensaver,Persistence
Privilege Escalation,T1098.006,Additional Container Cluster Roles,Privilege Escalation
Brute Force,T1110.003,Password Spraying,Credential Access
Brute Force,T1552.003,Shell History,Credential Access
Ransomware Detected,T1496.001,Compute Hijacking,Impact
Brute Force,T1003.006,DCSync,Credential Access
Suspicious Process Execution,T1542.001,System Firmware,Stealth
Brute Force,T1003.003,NTDS,Credential Access
Data Exfiltration Attempt,T1567,Exfiltration Over Web Service,Exfiltration
Privilege Escalation,T1037.005,Startup Items,Privilege Escalation
Suspicious Process Execution,T1205.002,Socket Filters,Stealth
Suspicious Process Execution,T1218.007,Msiexec,Stealth
Configuration Change,T1671,Cloud Application Integration,Persistence
Privilege Escalation,T1037.004,RC Scripts,Privilege Escalation
Brute Force,T1003.008,/etc/passwd and /etc/shadow,Credential Access
File Access,T1113,Screen Capture,Collection
Lateral Movement Detected,T1550.001,Application Access Token,Lateral Movement
DNS Tunneling Detected,T1001.002,Steganography,Command And Control
DNS Tunneling Detected,T1001.001,Junk Data,Command And Control
Data Exfiltration Attempt,T1048,Exfiltration Over Alternative Protocol,Exfiltration
Firewall Rule Change,T1553.006,Code Signing Policy Modification,Defense Impairment
Suspicious Process Execution,T1055.004,Asynchronous Procedure Call,Stealth
Configuration Change,T1556.006,Multi-Factor Authentication,Persistence
Port Scan,T1681,Search Threat Vendor Data,Reconnaissance
Privilege Escalation,T1055.013,Process Doppelgänging,Privilege Escalation
Firewall Rule Change,T1578,Modify Cloud Compute Infrastructure,Defense Impairment
Port Scan,T1589.003,Employee Names,Reconnaissance
Privilege Escalation,T1543,Create or Modify System Process,Privilege Escalation
Firewall Rule Change,T1556.009,Conditional Access Policies,Defense Impairment
Privilege Escalation,T1546.009,AppCert DLLs,Privilege Escalation
External / Not Directly Observed,T1585.002,Email Accounts,Resource Development
Privilege Escalation,T1546.016,Installer Packages,Privilege Escalation
Port Scan,T1680,Local Storage Discovery,Discovery
Lateral Movement Detected,T1563.002,RDP Hijacking,Lateral Movement
Data Exfiltration Attempt,T1537,Transfer Data to Cloud Account,Exfiltration
Privilege Escalation,T1053.002,At,Privilege Escalation
File Access,T1114.003,Email Forwarding Rule,Collection
File Access,T1056,Input Capture,Collection
Privilege Escalation,T1134.004,Parent PID Spoofing,Privilege Escalation
Port Scan,T1673,Virtual Machine Discovery,Discovery
Configuration Change,T1078,Valid Accounts,Persistence
Configuration Change,T1137.003,Outlook Forms,Persistence
Phishing Email,T1659,Content Injection,Initial Access
Port Scan,T1069.001,Local Groups,Discovery
Configuration Change,T1543.004,Launch Daemon,Persistence
Configuration Change,T1078.001,Default Accounts,Persistence
Privilege Escalation,T1134.001,Token Impersonation/Theft,Privilege Escalation
Data Exfiltration Attempt,T1020,Automated Exfiltration,Exfiltration
Configuration Change,T1554,Compromise Host Software Binary,Persistence
File Access,T1074.001,Local Data Staging,Collection
Port Scan,T1614,System Location Discovery,Discovery
File Access,T1213.001,Confluence,Collection
Ransomware Detected,T1498.001,Direct Network Flood,Impact
Port Scan,T1069,Permission Groups Discovery,Discovery
Privilege Escalation,T1546.002,Screensaver,Privilege Escalation
Suspicious Process Execution,T1036.004,Masquerade Task or Service,Stealth
Suspicious Process Execution,T1574.006,Dynamic Linker Hijacking,Stealth
Configuration Change,T1547.014,Active Setup,Persistence
Data Exfiltration Attempt,T1567.004,Exfiltration Over Webhook,Exfiltration
Suspicious Process Execution,T1027.010,Command Obfuscation,Stealth
Configuration Change,T1547.003,Time Providers,Persistence
Firewall Rule Change,T1686.002,Network Device Firewall,Defense Impairment
Port Scan,T1482,Domain Trust Discovery,Discovery
Brute Force,T1003.007,Proc Filesystem,Credential Access
Configuration Change,T1505,Server Software Component,Persistence
Configuration Change,T1037.001,Logon Script (Windows),Persistence
Privilege Escalation,T1055.003,Thread Execution Hijacking,Privilege Escalation
Malware Detection,T1127.003,JamPlus,Execution
Firewall Rule Change,T1599,Network Boundary Bridging,Defense Impairment
External / Not Directly Observed,T1587.003,Digital Certificates,Resource Development
Suspicious Process Execution,T1480.001,Environmental Keying,Stealth
Firewall Rule Change,T1112,Modify Registry,Defense Impairment
DNS Tunneling Detected,T1568,Dynamic Resolution,Command And Control
Port Scan,T1591.004,Identify Roles,Reconnaissance
Privilege Escalation,T1053,Scheduled Task/Job,Privilege Escalation
Malware Detection,T1059.012,Hypervisor CLI,Execution
DNS Tunneling Detected,T1205,Traffic Signaling,Command And Control
Privilege Escalation,T1055.011,Extra Window Memory Injection,Privilege Escalation
Firewall Rule Change,T1600.002,Disable Crypto Hardware,Defense Impairment
Malware Detection,T1059.006,Python,Execution
Port Scan,T1593,Search Open Websites/Domains,Reconnaissance
Privilege Escalation,T1053.007,Container Orchestration Job,Privilege Escalation
Port Scan,T1217,Browser Information Discovery,Discovery
Brute Force,T1003.002,Security Account Manager,Credential Access
Suspicious Process Execution,T1027.014,Polymorphic Code,Stealth
Brute Force,T1552.006,Group Policy Preferences,Credential Access
Brute Force,T1555.005,Password Managers,Credential Access
External / Not Directly Observed,T1608.002,Upload Tool,Resource Development
Malware Detection,T1204.001,Malicious Link,Execution
Port Scan,T1497,Virtualization/Sandbox Evasion,Discovery
File Access,T1005,Data from Local System,Collection
Suspicious Process Execution,T1574.013,KernelCallbackTable,Stealth
Configuration Change,T1136.001,Local Account,Persistence
Suspicious Process Execution,T1055.001,Dynamic-link Library Injection,Stealth
Phishing Email,T1669,Wi-Fi Networks,Initial Access
Configuration Change,T1556,Modify Authentication Process,Persistence
Brute Force,T1555.006,Cloud Secrets Management Stores,Credential Access
Malware Detection,T1059.013,Container CLI/API,Execution
External / Not Directly Observed,T1583.001,Domains,Resource Development
Brute Force,T1552.005,Cloud Instance Metadata API,Credential Access
Port Scan,T1087.001,Local Account,Discovery
Port Scan,T1590.003,Network Trust Dependencies,Reconnaissance
Suspicious Process Execution,T1127.002,ClickOnce,Stealth
Configuration Change,T1546.001,Change Default File Association,Persistence
Configuration Change,T1546.016,Installer Packages,Persistence
Malware Detection,T1059.009,Cloud API,Execution
Malware Detection,T1651,Cloud Administration Command,Execution
Privilege Escalation,T1546.007,Netsh Helper DLL,Privilege Escalation
Brute Force,T1558.002,Silver Ticket,Credential Access
Privilege Escalation,T1548.001,Setuid and Setgid,Privilege Escalation
External / Not Directly Observed,T1683,Generate Content,Resource Development
Suspicious Process Execution,T1134.003,Make and Impersonate Token,Stealth
Port Scan,T1589.001,Credentials,Reconnaissance
Ransomware Detected,T1565.001,Stored Data Manipulation,Impact
Malware Detection,T1059.003,Windows Command Shell,Execution
Port Scan,T1596,Search Open Technical Databases,Reconnaissance
Malware Detection,T1574.007,Path Interception by PATH Environment Variable,Execution
Configuration Change,T1037.004,RC Scripts,Persistence
Malware Detection,T1574.010,Services File Permissions Weakness,Execution
Ransomware Detected,T1496.004,Cloud Service Hijacking,Impact
DNS Tunneling Detected,T1071,Application Layer Protocol,Command And Control
Ransomware Detected,T1495,Firmware Corruption,Impact
Ransomware Detected,T1565.003,Runtime Data Manipulation,Impact
Suspicious Process Execution,T1218.003,CMSTP,Stealth
Malware Detection,T1053.003,Cron,Execution
Firewall Rule Change,T1685.001,Disable or Modify Windows Event Log,Defense Impairment
Suspicious Process Execution,T1684.002,Email Spoofing,Stealth
Suspicious Process Execution,T1027.002,Software Packing,Stealth
Brute Force,T1187,Forced Authentication,Credential Access
DNS Tunneling Detected,T1102,Web Service,Command And Control
External / Not Directly Observed,T1588,Obtain Capabilities,Resource Development
Suspicious Process Execution,T1216,System Script Proxy Execution,Stealth
Brute Force,T1056.004,Credential API Hooking,Credential Access
