vulnerability_id,cve_id,vulnerability_name,severity,cvss_score,affected_asset,patch_available,status
VUL00046,CVE-2023-21178,Command Injection,High,7.9,FIN-SW-0103,No,Open
VUL00047,CVE-2020-9358,Missing Security Patch,High,8.1,LEG-DB-0052,Yes,Patched
VUL00048,CVE-2021-31373,SQL Injection,Low,3.3,IT-IOT-0005,No,Won't Fix
VUL00049,CVE-2015-22291,Insecure Deserialization,High,8.1,ENG-SW-0024,Yes,In Progress
VUL00050,CVE-2019-1709,Insecure Direct Object Reference,Medium,5.6,OPS-PC-0139,Yes,In Progress
VUL00051,CVE-2016-3120,SQL Injection,High,7.9,IT-FW-0037,Yes,Closed
VUL00052,CVE-2023-34727,Broken Authentication,Medium,5.3,ENG-SRV-0076,No,Won't Fix
VUL00053,CVE-2015-59050,Open Redirect,Critical,9.4,FIN-FW-0001,Yes,In Progress
VUL00054,CVE-2018-1679,Insecure Deserialization,Medium,6.5,MKT-DB-0110,Yes,Closed
VUL00055,CVE-2025-41489,Server-Side Request Forgery (SSRF),Medium,5.7,MKT-PRT-0104,No,Won't Fix
VUL00056,CVE-2019-22984,Missing Security Patch,Low,0.9,MKT-SW-0018,Yes,Patched
VUL00057,CVE-2015-45501,Buffer Overflow,High,8.2,IT-MOB-0070,No,Won't Fix
VUL00058,CVE-2019-15996,Open Redirect,Low,1.9,SAL-IOT-0010,No,Won't Fix
VUL00059,CVE-2018-8312,Unpatched Software,Medium,6.8,FIN-SW-0040,Yes,In Progress
VUL00060,CVE-2016-66937,Path Traversal,Low,1.5,IT-SRV-0024,Yes,Patched
VUL00061,CVE-2026-17358,Insecure Direct Object Reference,Low,2.0,IT-PRT-0001,Yes,Patched
VUL00062,CVE-2024-14794,Weak Password Policy,Medium,6.7,MKT-RTR-0001,Yes,Closed
VUL00063,CVE-2016-54735,Remote Code Execution,Medium,4.8,LEG-IOT-0107,Yes,Patched
VUL00064,CVE-2015-40261,Missing Security Patch,Medium,6.7,HR-SW-0062,Yes,Closed
VUL00065,CVE-2022-24506,Remote Code Execution,High,7.1,MKT-PRT-0113,Yes,Patched
VUL00066,CVE-2020-46126,Security Misconfiguration,Critical,9.9,IT-FW-0078,Yes,Patched
VUL00067,CVE-2020-5683,Privilege Escalation,High,8.8,MKT-RTR-0108,Yes,Patched
VUL00068,CVE-2021-62261,Outdated SSL/TLS Configuration,Critical,9.5,MKT-SRV-0062,Yes,In Progress
VUL00069,CVE-2022-8716,Insecure Direct Object Reference,Medium,5.5,HR-FW-0033,No,Open
VUL00070,CVE-2024-40274,Cross-Site Scripting (XSS),Low,2.3,SAL-FW-0008,No,In Progress
VUL00071,CVE-2019-26327,Security Misconfiguration,Low,1.1,ENG-DB-0057,Yes,Closed
VUL00072,CVE-2024-8774,XML External Entity (XXE),Medium,6.1,HR-PC-0025,Yes,Patched
VUL00073,CVE-2016-39694,Security Misconfiguration,High,8.4,ENG-DB-0068,Yes,In Progress
VUL00074,CVE-2023-26426,Cross-Site Scripting (XSS),High,7.8,OPS-SW-0010,Yes,In Progress
VUL00075,CVE-2016-58591,Buffer Overflow,Medium,6.6,FIN-DB-0067,Yes,Patched
VUL00076,CVE-2018-5719,Buffer Overflow,Critical,9.8,ENG-SRV-0098,No,Open
VUL00077,CVE-2025-17850,Command Injection,High,7.7,FIN-MOB-0022,Yes,Closed
VUL00078,CVE-2023-61927,Unpatched Software,Medium,4.8,FIN-PRT-0078,No,Won't Fix
VUL00079,CVE-2026-95496,Weak Password Policy,High,8.2,OPS-PRT-0003,No,Won't Fix
VUL00080,CVE-2026-32568,Server-Side Request Forgery (SSRF),High,8.8,IT-SRV-0066,Yes,Patched
VUL00081,CVE-2025-95770,Weak Password Policy,Low,2.0,OPS-MOB-0117,No,In Progress
VUL00082,CVE-2020-77406,Command Injection,Low,3.0,IT-IOT-0004,No,Won't Fix
VUL00083,CVE-2024-38931,Unpatched Software,Low,0.8,MKT-DB-0039,Yes,Patched
VUL00084,CVE-2021-37738,Sensitive Data Exposure,Medium,5.4,SAL-PC-0031,Yes,Closed
VUL00085,CVE-2021-60399,Privilege Escalation,Low,3.6,ENG-IOT-0093,Yes,In Progress
VUL00086,CVE-2022-69900,Path Traversal,High,7.4,HR-DB-0015,Yes,Patched
VUL00087,CVE-2018-82199,Remote Code Execution,Low,0.2,MKT-SRV-0007,Yes,In Progress
VUL00088,CVE-2019-36757,Path Traversal,Low,1.3,FIN-MOB-0018,Yes,Patched
VUL00089,CVE-2020-94852,Command Injection,Medium,6.6,OPS-RTR-0050,Yes,Closed
VUL00090,CVE-2025-20785,Server-Side Request Forgery (SSRF),Low,3.2,FIN-DB-0097,Yes,Closed
VUL00091,CVE-2019-69679,Remote Code Execution,Medium,4.6,SAL-DB-0075,Yes,Closed
VUL00092,CVE-2017-66652,Server-Side Request Forgery (SSRF),High,7.3,MKT-RTR-0019,No,Open
VUL00093,CVE-2023-29496,Server-Side Request Forgery (SSRF),High,8.7,OPS-PC-0142,Yes,Closed
VUL00094,CVE-2025-38590,Unpatched Software,High,8.6,SAL-SRV-0111,No,Won't Fix
VUL00095,CVE-2019-70688,Privilege Escalation,Critical,9.6,LEG-RTR-0044,Yes,Closed
VUL00096,CVE-2026-43182,Open Redirect,Low,3.3,HR-FW-0063,Yes,Closed
VUL00097,CVE-2017-57811,Insecure Deserialization,High,8.8,OPS-FW-0072,Yes,In Progress
VUL00098,CVE-2024-21571,Outdated SSL/TLS Configuration,Medium,4.9,MKT-FW-0061,Yes,Patched
VUL00099,CVE-2019-41451,XML External Entity (XXE),High,8.7,SAL-LAP-0018,Yes,Patched
VUL00100,CVE-2018-64842,Path Traversal,Low,0.7,ENG-DB-0019,Yes,Closed
VUL00101,CVE-2022-60637,Buffer Overflow,Medium,5.8,HR-SRV-0068,Yes,In Progress
VUL00102,CVE-2020-23017,Sensitive Data Exposure,High,7.2,FIN-PC-0042,No,In Progress
VUL00103,CVE-2018-68553,Missing Security Patch,High,7.6,MKT-LAP-0098,No,Open
VUL00104,CVE-2018-14319,Command Injection,High,8.0,SAL-LAP-0092,Yes,Closed
VUL00105,CVE-2019-38871,Insecure Deserialization,Medium,5.3,MKT-RTR-0120,No,Open
VUL00106,CVE-2025-5090,Sensitive Data Exposure,Medium,6.8,MKT-FW-0096,Yes,Closed
VUL00107,CVE-2019-8793,Cross-Site Scripting (XSS),Medium,4.5,IT-LAP-0136,Yes,In Progress
VUL00108,CVE-2021-43494,Cross-Site Scripting (XSS),Low,1.3,LEG-PC-0104,Yes,Patched
VUL00109,CVE-2021-7504,Buffer Overflow,Medium,4.1,HR-PC-0079,No,Open
VUL00110,CVE-2024-62901,Open Redirect,Medium,6.8,LEG-DB-0091,Yes,Patched
VUL00111,CVE-2022-85207,Weak Password Policy,Medium,4.3,HR-MOB-0099,No,Open
VUL00112,CVE-2017-43233,Privilege Escalation,Medium,6.3,ENG-RTR-0092,No,Won't Fix
VUL00113,CVE-2019-89801,Unpatched Software,High,7.8,LEG-SW-0124,No,In Progress
VUL00114,CVE-2018-46532,Cross-Site Scripting (XSS),Low,0.9,FIN-PC-0103,Yes,Closed
VUL00115,CVE-2016-64100,XML External Entity (XXE),High,7.6,MKT-PC-0050,No,Won't Fix
VUL00116,CVE-2022-61174,Cross-Site Scripting (XSS),Low,3.2,MKT-RTR-0028,Yes,In Progress
VUL00117,CVE-2021-65891,Path Traversal,Medium,4.5,FIN-DB-0033,Yes,Closed
VUL00118,CVE-2021-68910,Insecure Direct Object Reference,Medium,4.4,FIN-IOT-0080,Yes,In Progress
VUL00119,CVE-2020-16107,Insecure Direct Object Reference,High,8.0,SAL-LAP-0054,Yes,In Progress
VUL00120,CVE-2018-56064,Open Redirect,Medium,5.6,MKT-LAP-0049,Yes,In Progress
VUL00121,CVE-2021-6009,SQL Injection,Low,1.3,SAL-RTR-0029,Yes,In Progress
VUL00122,CVE-2026-22095,Outdated SSL/TLS Configuration,Medium,5.8,MKT-LAP-0031,Yes,Closed
VUL00123,CVE-2022-99157,Server-Side Request Forgery (SSRF),Medium,5.1,FIN-SW-0047,No,In Progress
VUL00124,CVE-2020-91857,Unpatched Software,Low,0.2,IT-MOB-0055,Yes,In Progress
VUL00125,CVE-2015-83475,Broken Authentication,Medium,5.7,OPS-IOT-0006,Yes,Patched
VUL00126,CVE-2019-29221,Security Misconfiguration,High,7.8,LEG-LAP-0035,No,Open
VUL00127,CVE-2025-2059,XML External Entity (XXE),High,7.5,MKT-DB-0123,Yes,Closed
VUL00128,CVE-2016-10259,Broken Authentication,Low,3.1,LEG-PC-0044,Yes,Closed
VUL00129,CVE-2015-85287,Sensitive Data Exposure,High,7.2,SAL-PRT-0111,Yes,Patched
VUL00130,CVE-2020-10920,Command Injection,Medium,5.9,OPS-SRV-0101,Yes,In Progress
VUL00131,CVE-2016-31103,Buffer Overflow,Low,3.8,FIN-PRT-0095,No,Won't Fix
VUL00132,CVE-2017-24449,Command Injection,Medium,4.6,LEG-PRT-0066,No,Won't Fix
VUL00133,CVE-2024-54969,Remote Code Execution,Medium,6.4,LEG-LAP-0062,Yes,In Progress
VUL00134,CVE-2022-30406,Sensitive Data Exposure,Low,1.3,HR-FW-0024,Yes,In Progress
VUL00135,CVE-2022-10509,Buffer Overflow,Low,2.3,ENG-PRT-0114,No,Won't Fix
VUL00136,CVE-2024-17780,Insecure Deserialization,Medium,4.3,ENG-PC-0051,No,Open
VUL00137,CVE-2021-90591,Server-Side Request Forgery (SSRF),High,7.4,LEG-LAP-0047,Yes,In Progress
VUL00138,CVE-2024-53769,Security Misconfiguration,Low,1.2,ENG-MOB-0086,No,In Progress
VUL00139,CVE-2023-98136,Insecure Deserialization,Low,3.7,HR-PRT-0087,Yes,Closed
VUL00140,CVE-2021-82839,Buffer Overflow,Low,2.9,HR-DB-0062,Yes,Patched
VUL00141,CVE-2020-23707,Broken Authentication,Low,0.4,FIN-PRT-0108,Yes,Patched
VUL00142,CVE-2024-54295,Outdated SSL/TLS Configuration,High,7.4,OPS-FW-0066,No,Won't Fix
VUL00143,CVE-2025-87408,Denial of Service,High,7.8,OPS-PC-0016,Yes,Closed
VUL00144,CVE-2016-56967,Remote Code Execution,Critical,9.2,IT-IOT-0078,No,Won't Fix
VUL00145,CVE-2023-34042,Missing Security Patch,High,7.7,HR-SRV-0094,Yes,Patched
VUL00146,CVE-2016-4649,Insecure Direct Object Reference,Low,2.1,LEG-SW-0097,Yes,In Progress
VUL00147,CVE-2018-33904,Open Redirect,Low,3.2,FIN-MOB-0046,No,Won't Fix
VUL00148,CVE-2023-89622,Outdated SSL/TLS Configuration,Medium,4.0,FIN-LAP-0039,Yes,Closed
VUL00149,CVE-2026-66074,Cross-Site Scripting (XSS),Medium,5.2,IT-DB-0007,Yes,Closed
VUL00150,CVE-2018-59998,Buffer Overflow,Medium,4.1,LEG-SW-0068,Yes,Closed
VUL00151,CVE-2017-89490,Broken Authentication,High,7.3,FIN-SW-0106,No,Won't Fix
VUL00152,CVE-2018-30685,Insecure Deserialization,Medium,4.4,SAL-MOB-0077,No,Won't Fix
VUL00153,CVE-2026-46077,Sensitive Data Exposure,Medium,6.5,LEG-MOB-0071,Yes,Closed
VUL00154,CVE-2018-1864,Remote Code Execution,High,7.1,ENG-SRV-0104,No,In Progress
VUL00155,CVE-2016-43014,Outdated SSL/TLS Configuration,Medium,4.0,OPS-RTR-0038,No,Open
VUL00156,CVE-2022-39466,Path Traversal,Medium,6.6,ENG-MOB-0109,No,Open
VUL00157,CVE-2024-36799,Insecure Deserialization,Medium,6.4,SAL-DB-0039,Yes,Patched
VUL00158,CVE-2018-73666,Privilege Escalation,Medium,4.4,OPS-MOB-0067,Yes,Closed
VUL00159,CVE-2025-19531,Insecure Deserialization,Medium,6.3,HR-SW-0084,Yes,Patched
VUL00160,CVE-2018-6549,SQL Injection,Low,1.8,MKT-RTR-0030,Yes,Patched
VUL00161,CVE-2024-4952,XML External Entity (XXE),Critical,9.6,FIN-PRT-0058,Yes,Patched
VUL00162,CVE-2018-82738,Missing Security Patch,High,8.0,FIN-PC-0120,Yes,Closed
VUL00163,CVE-2019-26051,SQL Injection,Medium,4.6,SAL-MOB-0022,No,Open
VUL00164,CVE-2024-8403,Outdated SSL/TLS Configuration,Medium,4.7,OPS-LAP-0027,No,Open
VUL00165,CVE-2025-84739,Missing Security Patch,Low,1.7,SAL-SRV-0082,No,Open
VUL00166,CVE-2026-76810,Insecure Direct Object Reference,High,8.0,ENG-LAP-0037,Yes,In Progress
VUL00167,CVE-2016-88029,Denial of Service,Medium,6.3,OPS-PRT-0099,No,In Progress
VUL00168,CVE-2024-56622,Command Injection,Medium,6.7,MKT-DB-0005,No,In Progress
VUL00169,CVE-2017-91084,Insecure Direct Object Reference,High,8.4,IT-LAP-0020,Yes,In Progress
VUL00170,CVE-2017-14126,Server-Side Request Forgery (SSRF),Low,0.8,OPS-DB-0047,Yes,In Progress
VUL00171,CVE-2015-42995,Sensitive Data Exposure,Critical,9.9,MKT-IOT-0062,Yes,In Progress
VUL00172,CVE-2023-64530,Cross-Site Scripting (XSS),Medium,6.6,SAL-DB-0006,Yes,Patched
VUL00173,CVE-2026-30855,Path Traversal,High,7.4,ENG-IOT-0013,Yes,In Progress
VUL00174,CVE-2017-80324,Remote Code Execution,High,8.6,SAL-PRT-0007,Yes,Closed
VUL00175,CVE-2017-22373,Sensitive Data Exposure,Medium,5.0,FIN-SW-0127,No,Open
VUL00176,CVE-2018-48427,Command Injection,Critical,9.9,MKT-DB-0019,Yes,Patched
VUL00177,CVE-2026-40791,Remote Code Execution,Low,1.0,SAL-FW-0105,No,In Progress
VUL00178,CVE-2020-20911,XML External Entity (XXE),High,8.6,IT-MOB-0123,Yes,In Progress
VUL00179,CVE-2017-35691,Security Misconfiguration,High,8.5,MKT-MOB-0074,Yes,In Progress
VUL00180,CVE-2025-96022,Weak Password Policy,Medium,6.7,HR-FW-0045,Yes,Patched
VUL00181,CVE-2017-58684,Unpatched Software,Critical,9.3,LEG-MOB-0039,Yes,Patched
VUL00182,CVE-2021-84711,Sensitive Data Exposure,Medium,6.2,ENG-SW-0122,Yes,In Progress
VUL00183,CVE-2020-28425,Broken Authentication,Medium,6.8,OPS-MOB-0004,Yes,In Progress
VUL00184,CVE-2021-46726,Weak Password Policy,Medium,5.5,SAL-MOB-0023,Yes,Closed
VUL00185,CVE-2017-49397,Cross-Site Scripting (XSS),Low,1.1,OPS-DB-0093,Yes,Patched
VUL00186,CVE-2022-86418,Insecure Direct Object Reference,Critical,9.9,OPS-DB-0076,No,Won't Fix
VUL00187,CVE-2018-78202,Sensitive Data Exposure,Critical,10.0,OPS-FW-0049,Yes,In Progress
VUL00188,CVE-2026-46565,Remote Code Execution,High,8.7,MKT-IOT-0102,No,In Progress
VUL00189,CVE-2022-30449,Missing Security Patch,Medium,5.1,MKT-DB-0072,No,Won't Fix
VUL00190,CVE-2018-55035,Buffer Overflow,Critical,9.3,MKT-SRV-0068,Yes,In Progress
VUL00191,CVE-2016-6253,Security Misconfiguration,Medium,5.8,LEG-PRT-0074,Yes,Closed
VUL00192,CVE-2023-48668,Weak Password Policy,Medium,6.0,OPS-SRV-0083,Yes,In Progress
VUL00193,CVE-2015-97953,Sensitive Data Exposure,Medium,6.0,IT-FW-0074,Yes,In Progress
VUL00194,CVE-2022-39328,XML External Entity (XXE),Low,2.6,MKT-IOT-0057,No,In Progress
VUL00195,CVE-2021-42107,Unpatched Software,Medium,4.3,SAL-PRT-0048,No,Won't Fix
VUL00196,CVE-2019-77383,Missing Security Patch,Medium,5.4,LEG-SRV-0038,Yes,In Progress
VUL00197,CVE-2023-35221,Path Traversal,Medium,6.9,FIN-PRT-0057,No,Open
VUL00198,CVE-2016-75950,Sensitive Data Exposure,Low,1.7,LEG-LAP-0051,Yes,Patched
VUL00199,CVE-2016-42359,Insecure Deserialization,Critical,9.7,SAL-RTR-0118,Yes,Patched
VUL00200,CVE-2020-65362,Remote Code Execution,Low,1.9,SAL-DB-0022,No,Won't Fix
VUL00201,CVE-2024-90495,Unpatched Software,High,7.7,LEG-SRV-0025,No,Won't Fix
VUL00202,CVE-2023-86032,Privilege Escalation,High,8.8,IT-RTR-0016,No,In Progress
VUL00203,CVE-2015-89831,Insecure Deserialization,High,7.4,OPS-DB-0003,No,In Progress
VUL00204,CVE-2026-74483,Privilege Escalation,Low,2.1,ENG-PC-0061,Yes,Closed
VUL00205,CVE-2019-30117,SQL Injection,High,7.7,LEG-SW-0041,Yes,Patched
VUL00206,CVE-2018-73063,Unpatched Software,Medium,5.7,HR-LAP-0081,No,Open
VUL00207,CVE-2019-81035,Insecure Direct Object Reference,High,8.1,SAL-MOB-0062,Yes,Patched
VUL00208,CVE-2020-95526,Cross-Site Scripting (XSS),Critical,9.3,OPS-IOT-0066,No,Won't Fix
VUL00209,CVE-2017-81838,Path Traversal,High,8.7,SAL-MOB-0018,Yes,Patched
VUL00210,CVE-2023-35006,Privilege Escalation,Low,1.0,OPS-LAP-0108,No,Open
VUL00211,CVE-2020-99624,Unpatched Software,Medium,5.0,OPS-MOB-0091,Yes,Closed
VUL00212,CVE-2020-21854,Buffer Overflow,Medium,6.6,ENG-PC-0061,Yes,Patched
VUL00213,CVE-2023-56921,Outdated SSL/TLS Configuration,Low,2.2,LEG-DB-0011,Yes,Closed
VUL00214,CVE-2015-87923,Sensitive Data Exposure,High,7.0,IT-LAP-0056,Yes,In Progress
VUL00215,CVE-2017-82823,Outdated SSL/TLS Configuration,Medium,6.1,LEG-IOT-0065,Yes,In Progress
VUL00216,CVE-2020-12209,Buffer Overflow,Low,1.7,LEG-FW-0080,Yes,Closed
VUL00217,CVE-2015-7677,Denial of Service,Critical,9.9,FIN-PRT-0086,No,In Progress
VUL00218,CVE-2018-85223,Broken Authentication,High,8.6,OPS-PC-0138,Yes,Patched
VUL00219,CVE-2023-84168,Broken Authentication,Low,0.3,IT-LAP-0002,No,In Progress
VUL00220,CVE-2015-90008,Open Redirect,Low,3.7,FIN-PC-0115,No,Won't Fix
VUL00221,CVE-2022-60818,Insecure Deserialization,Low,1.4,IT-FW-0092,No,Won't Fix
VUL00222,CVE-2023-54443,Path Traversal,Medium,4.9,HR-MOB-0014,Yes,In Progress
VUL00223,CVE-2019-38420,Cross-Site Scripting (XSS),Low,0.1,SAL-LAP-0062,Yes,Closed
VUL00224,CVE-2018-38934,Security Misconfiguration,Medium,5.2,OPS-FW-0131,Yes,Patched
VUL00225,CVE-2021-56362,Missing Security Patch,High,8.4,ENG-LAP-0107,Yes,Patched
VUL00226,CVE-2026-9681,Insecure Deserialization,Medium,4.6,SAL-RTR-0020,Yes,Patched
VUL00227,CVE-2023-80982,Cross-Site Scripting (XSS),High,8.4,ENG-RTR-0089,Yes,Closed
VUL00228,CVE-2018-24082,Remote Code Execution,Medium,4.6,HR-PC-0008,Yes,Patched
VUL00229,CVE-2015-13565,Privilege Escalation,Low,2.0,ENG-IOT-0035,No,Won't Fix
VUL00230,CVE-2020-95540,Outdated SSL/TLS Configuration,Medium,5.9,SAL-SRV-0103,No,Won't Fix
VUL00231,CVE-2016-92689,Path Traversal,Low,2.8,ENG-MOB-0134,Yes,Patched
VUL00232,CVE-2026-94673,SQL Injection,High,8.8,HR-RTR-0093,No,In Progress
VUL00233,CVE-2023-78592,Denial of Service,Low,2.5,ENG-MOB-0059,No,Open
VUL00234,CVE-2017-66215,Unpatched Software,High,7.0,ENG-FW-0051,No,Open
VUL00235,CVE-2015-60207,SQL Injection,Critical,9.1,LEG-IOT-0063,Yes,Patched
VUL00236,CVE-2019-15567,Weak Password Policy,Medium,4.5,SAL-RTR-0089,Yes,Closed
VUL00237,CVE-2015-43681,Missing Security Patch,Medium,6.8,HR-SW-0092,Yes,Patched
VUL00238,CVE-2015-61792,SQL Injection,Medium,4.8,LEG-PRT-0121,Yes,In Progress
VUL00239,CVE-2018-1660,Privilege Escalation,Medium,4.0,LEG-PC-0106,No,Open
VUL00240,CVE-2021-40396,Unpatched Software,High,7.8,MKT-DB-0121,Yes,Closed
VUL00241,CVE-2020-97475,XML External Entity (XXE),High,7.5,OPS-IOT-0073,No,Won't Fix
VUL00242,CVE-2020-72768,Cross-Site Scripting (XSS),Medium,5.2,HR-RTR-0084,Yes,In Progress
VUL00243,CVE-2023-70078,Buffer Overflow,Critical,9.5,IT-PRT-0024,No,Won't Fix
VUL00244,CVE-2018-86134,Cross-Site Scripting (XSS),Critical,9.6,ENG-MOB-0112,Yes,Patched
VUL00245,CVE-2020-4279,Security Misconfiguration,Medium,6.1,IT-PRT-0037,Yes,In Progress
VUL00246,CVE-2022-75357,Sensitive Data Exposure,Critical,9.1,ENG-PC-0112,Yes,Closed
VUL00247,CVE-2026-61708,XML External Entity (XXE),Medium,5.0,LEG-SW-0065,No,Open
VUL00248,CVE-2015-80335,Missing Security Patch,Medium,6.3,HR-PC-0048,Yes,Patched
VUL00249,CVE-2017-8930,Cross-Site Scripting (XSS),Medium,6.1,MKT-MOB-0105,Yes,In Progress
VUL00250,CVE-2025-1936,Privilege Escalation,High,8.4,ENG-RTR-0081,Yes,Closed
VUL00251,CVE-2017-18854,Denial of Service,Medium,5.7,ENG-PRT-0121,Yes,Patched
VUL00252,CVE-2023-41871,Insecure Direct Object Reference,Low,0.7,IT-SRV-0119,No,Open
VUL00253,CVE-2017-23545,Path Traversal,Medium,5.8,HR-SRV-0026,No,In Progress
VUL00254,CVE-2015-79086,Buffer Overflow,Critical,9.7,FIN-LAP-0114,Yes,Closed
VUL00255,CVE-2015-67641,Broken Authentication,High,7.2,ENG-DB-0007,Yes,In Progress
VUL00256,CVE-2017-95628,Privilege Escalation,Low,3.2,ENG-DB-0076,Yes,Closed
VUL00257,CVE-2026-36815,Buffer Overflow,Critical,9.6,ENG-LAP-0039,Yes,Closed
VUL00258,CVE-2022-15173,Weak Password Policy,Medium,4.8,ENG-SRV-0125,No,In Progress
VUL00259,CVE-2023-53088,Path Traversal,Low,2.8,MKT-IOT-0084,Yes,Patched
VUL00260,CVE-2016-17267,Path Traversal,High,8.0,MKT-DB-0018,No,Won't Fix
VUL00261,CVE-2018-33759,Server-Side Request Forgery (SSRF),High,8.5,SAL-LAP-0031,No,In Progress
VUL00262,CVE-2018-36482,Outdated SSL/TLS Configuration,Medium,6.3,IT-SW-0078,Yes,In Progress
VUL00263,CVE-2015-33495,SQL Injection,Medium,4.1,OPS-LAP-0073,Yes,Patched
VUL00264,CVE-2021-34630,XML External Entity (XXE),Critical,9.7,MKT-LAP-0051,No,In Progress
VUL00265,CVE-2025-35272,Cross-Site Scripting (XSS),Medium,5.8,LEG-DB-0039,Yes,In Progress
VUL00266,CVE-2017-90882,Path Traversal,Medium,4.9,OPS-LAP-0070,Yes,Patched
VUL00267,CVE-2025-55083,SQL Injection,Medium,4.1,LEG-FW-0049,No,In Progress
VUL00268,CVE-2020-12420,Weak Password Policy,Medium,4.5,LEG-RTR-0084,No,Open
VUL00269,CVE-2016-72511,Remote Code Execution,Medium,4.3,ENG-LAP-0079,No,Won't Fix
VUL00270,CVE-2016-3645,Missing Security Patch,Low,0.6,IT-LAP-0120,No,Won't Fix
