asset_id,asset_name,asset_type,owner,department,criticality,operating_system
AST00074,FIN-MOB-0004,Mobile Device,Victoria,Finance,Low,iOS 17
AST00075,MKT-PC-0001,Workstation,Lynn,Marketing,High,Ubuntu Linux
AST00076,ENG-MOB-0002,Mobile Device,Justin,Engineering,Low,iOS 17
AST00077,ENG-SW-0001,Switch,Paul,Engineering,Medium,Cisco IOS
AST00078,MKT-PRT-0001,Printer,Elizabeth,Marketing,Medium,Embedded Firmware
AST00079,IT-MOB-0002,Mobile Device,Andrew,IT,High,Android 14
AST00080,IT-PRT-0001,Printer,Steven,IT,Low,Embedded Firmware
AST00081,LEG-PRT-0001,Printer,Gary,Legal,Medium,Embedded Firmware
AST00082,LEG-LAP-0002,Laptop,Dave,Legal,Low,macOS Sonoma
AST00083,FIN-SRV-0003,Server,Brian,Finance,Critical,Ubuntu Server 22.04
AST00084,SAL-RTR-0002,Router,Kayla,Sales,High,JunOS
AST00085,IT-LAP-0002,Laptop,David,IT,Medium,macOS Ventura
AST00086,SAL-FW-0002,Firewall,John,Sales,Low,PAN-OS
AST00087,LEG-SW-0002,Switch,Peter,Legal,Medium,Arista EOS
AST00088,OPS-LAP-0003,Laptop,Monica,Operations,High,Windows 10
AST00089,OPS-MOB-0001,Mobile Device,Christopher,Operations,Medium,iOS 17
AST00090,LEG-SW-0003,Switch,Shane,Legal,Medium,Arista EOS
AST00091,FIN-LAP-0002,Laptop,Andrea,Finance,Critical,Windows 11
AST00092,FIN-LAP-0003,Laptop,Nicole,Finance,Low,Windows 10
AST00093,SAL-RTR-0003,Router,Lori,Sales,High,JunOS
AST00094,MKT-DB-0002,Database,Michelle,Marketing,Low,Oracle Linux
AST00095,ENG-SW-0002,Switch,Joshua,Engineering,Low,Cisco IOS
AST00096,SAL-DB-0002,Database,Robert,Sales,High,Ubuntu Server 22.04
AST00097,HR-LAP-0001,Laptop,Michael,HR,High,Windows 10
AST00098,IT-LAP-0003,Laptop,Nicole,IT,Low,Windows 10
AST00099,ENG-PC-0002,Workstation,Susan,Engineering,Medium,Ubuntu Linux
AST00100,LEG-RTR-0001,Router,Edward,Legal,Medium,Cisco IOS
AST00101,IT-LAP-0004,Laptop,Gregory,IT,Critical,macOS Sonoma
AST00102,HR-SRV-0002,Server,Jesse,HR,Low,Ubuntu Server 22.04
AST00103,MKT-MOB-0002,Mobile Device,Jesus,Marketing,High,Android 14
AST00104,ENG-MOB-0003,Mobile Device,Todd,Engineering,High,Android 14
AST00105,OPS-PC-0001,Workstation,Brianna,Operations,Critical,Windows 10
AST00106,HR-PC-0002,Workstation,Jose,HR,High,Ubuntu Linux
AST00107,IT-MOB-0003,Mobile Device,Adam,IT,Medium,Android 14
AST00108,FIN-DB-0002,Database,Robert,Finance,High,Oracle Linux
AST00109,LEG-MOB-0002,Mobile Device,Mike,Legal,Medium,iOS 17
AST00110,IT-SW-0001,Switch,Ashley,IT,Low,Cisco IOS
AST00111,LEG-SW-0004,Switch,Stephanie,Legal,Critical,Cisco IOS
AST00112,HR-LAP-0002,Laptop,Hannah,HR,Medium,macOS Sonoma
AST00113,LEG-SRV-0001,Server,Zachary,Legal,Low,CentOS 7
AST00114,MKT-IOT-0001,IoT Device,Christina,Marketing,Low,Embedded Firmware
AST00115,HR-PRT-0003,Printer,Erica,HR,Low,Embedded Firmware
AST00116,ENG-PC-0003,Workstation,Brian,Engineering,Low,Windows 11
AST00117,OPS-FW-0003,Firewall,Rachel,Operations,Low,PAN-OS
AST00118,IT-SW-0002,Switch,Kimberly,IT,Low,Arista EOS
AST00119,LEG-LAP-0003,Laptop,Nancy,Legal,Medium,Windows 11
AST00120,IT-MOB-0004,Mobile Device,Lauren,IT,High,iOS 17
AST00121,MKT-LAP-0001,Laptop,Philip,Marketing,Low,Windows 10
AST00122,LEG-PC-0001,Workstation,Raymond,Legal,Low,Ubuntu Linux
AST00123,IT-LAP-0005,Laptop,Dale,IT,Medium,Windows 11
AST00124,LEG-SW-0005,Switch,Cynthia,Legal,High,Arista EOS
AST00125,SAL-RTR-0004,Router,Bryan,Sales,High,Cisco IOS
AST00126,HR-MOB-0001,Mobile Device,Carlos,HR,Medium,iOS 17
AST00127,HR-IOT-0004,IoT Device,Jason,HR,High,Embedded Firmware
AST00128,FIN-PC-0002,Workstation,Francis,Finance,Low,Ubuntu Linux
AST00129,OPS-LAP-0004,Laptop,Matthew,Operations,Medium,macOS Ventura
AST00130,HR-PC-0003,Workstation,Brian,HR,Medium,Ubuntu Linux
AST00131,IT-PRT-0002,Printer,Aaron,IT,Low,Embedded Firmware
AST00132,FIN-MOB-0005,Mobile Device,Edward,Finance,High,iOS 17
AST00133,FIN-PRT-0002,Printer,Craig,Finance,Low,Embedded Firmware
AST00134,MKT-FW-0001,Firewall,Michael,Marketing,High,Cisco ASA OS
AST00135,IT-PRT-0003,Printer,Anthony,IT,Medium,Embedded Firmware
AST00136,FIN-PRT-0003,Printer,Nancy,Finance,Critical,Embedded Firmware
AST00137,HR-IOT-0005,IoT Device,Christina,HR,Medium,Embedded Firmware
AST00138,FIN-IOT-0002,IoT Device,Edgar,Finance,Low,Embedded Firmware
AST00139,MKT-IOT-0002,IoT Device,Johnny,Marketing,Medium,Embedded Firmware
AST00140,ENG-PC-0004,Workstation,Michael,Engineering,Medium,Ubuntu Linux
AST00141,FIN-FW-0002,Firewall,Michael,Finance,High,PAN-OS
AST00142,MKT-PRT-0002,Printer,David,Marketing,Medium,Embedded Firmware
AST00143,IT-RTR-0001,Router,Melinda,IT,Critical,JunOS
AST00144,HR-RTR-0003,Router,Victoria,HR,Medium,JunOS
AST00145,MKT-DB-0003,Database,Steven,Marketing,Low,Windows Server 2022
AST00146,FIN-IOT-0003,IoT Device,Timothy,Finance,Low,Embedded Firmware
AST00147,OPS-SRV-0003,Server,Christopher,Operations,Medium,Ubuntu Server 22.04
AST00148,FIN-SW-0003,Switch,Curtis,Finance,Low,Arista EOS
AST00149,LEG-PC-0002,Workstation,Matthew,Legal,Low,Windows 11
AST00150,ENG-DB-0001,Database,Joseph,Engineering,Medium,Windows Server 2022
AST00151,LEG-SW-0006,Switch,Maria,Legal,Medium,Cisco IOS
AST00152,OPS-PC-0002,Workstation,Evan,Operations,Medium,Windows 11
AST00153,LEG-LAP-0004,Laptop,Andrew,Legal,Critical,Windows 11
AST00154,HR-RTR-0004,Router,Stephanie,HR,Low,Cisco IOS
AST00155,LEG-DB-0001,Database,Allison,Legal,Critical,Oracle Linux
AST00156,FIN-SW-0004,Switch,Dwayne,Finance,Critical,Arista EOS
AST00157,HR-RTR-0005,Router,Amy,HR,Low,JunOS
AST00158,SAL-FW-0003,Firewall,Anthony,Sales,Critical,PAN-OS
AST00159,OPS-FW-0004,Firewall,Allison,Operations,High,PAN-OS
AST00160,HR-DB-0001,Database,Tiffany,HR,Critical,Oracle Linux
AST00161,IT-LAP-0006,Laptop,Michelle,IT,Low,macOS Ventura
AST00162,ENG-IOT-0001,IoT Device,Heather,Engineering,High,Embedded Firmware
AST00163,ENG-PC-0005,Workstation,Jose,Engineering,Critical,Ubuntu Linux
AST00164,SAL-SRV-0002,Server,Michael,Sales,Medium,Ubuntu Server 22.04
AST00165,MKT-RTR-0001,Router,Gary,Marketing,Low,JunOS
AST00166,LEG-FW-0002,Firewall,Kelsey,Legal,Medium,FortiOS
AST00167,LEG-LAP-0005,Laptop,Amanda,Legal,Low,Windows 11
AST00168,FIN-FW-0003,Firewall,Kimberly,Finance,Medium,PAN-OS
AST00169,IT-PRT-0004,Printer,Mark,IT,Critical,Embedded Firmware
AST00170,LEG-SRV-0002,Server,Jeffrey,Legal,Medium,Windows Server 2022
AST00171,FIN-SRV-0004,Server,Lisa,Finance,Medium,Windows Server 2019
AST00172,OPS-FW-0005,Firewall,Traci,Operations,Medium,FortiOS
AST00173,IT-PC-0003,Workstation,Melissa,IT,High,Windows 11
AST00174,LEG-DB-0002,Database,Linda,Legal,High,Windows Server 2022
AST00175,LEG-RTR-0002,Router,Loretta,Legal,Medium,Cisco IOS
AST00176,ENG-RTR-0002,Router,Jodi,Engineering,Medium,JunOS
AST00177,SAL-MOB-0005,Mobile Device,Jeremy,Sales,Medium,iOS 17
AST00178,FIN-RTR-0002,Router,Zachary,Finance,High,JunOS
AST00179,LEG-PRT-0002,Printer,Michael,Legal,Medium,Embedded Firmware
AST00180,HR-SRV-0003,Server,Anthony,HR,Low,CentOS 7
AST00181,ENG-PC-0006,Workstation,Anthony,Engineering,Low,Ubuntu Linux
AST00182,ENG-PRT-0002,Printer,Joshua,Engineering,Low,Embedded Firmware
AST00183,IT-SRV-0002,Server,Jonathon,IT,Low,Windows Server 2019
AST00184,ENG-LAP-0003,Laptop,Heather,Engineering,Medium,Windows 10
AST00185,HR-SRV-0004,Server,Sue,HR,Low,Windows Server 2019
AST00186,MKT-SRV-0001,Server,Seth,Marketing,Medium,CentOS 7
AST00187,FIN-LAP-0004,Laptop,Sharon,Finance,Low,Windows 11
AST00188,LEG-RTR-0003,Router,Vanessa,Legal,Low,Cisco IOS
AST00189,HR-MOB-0002,Mobile Device,Stephanie,HR,Medium,Android 14
AST00190,MKT-SW-0001,Switch,Michael,Marketing,Medium,Cisco IOS
AST00191,ENG-MOB-0004,Mobile Device,Jeffrey,Engineering,Low,iOS 17
AST00192,HR-DB-0002,Database,Jeremy,HR,High,Ubuntu Server 22.04
AST00193,HR-PC-0004,Workstation,James,HR,Low,Ubuntu Linux
AST00194,LEG-LAP-0006,Laptop,James,Legal,Low,macOS Ventura
AST00195,OPS-FW-0006,Firewall,Claire,Operations,Medium,FortiOS
AST00196,OPS-DB-0001,Database,Rachel,Operations,Medium,Ubuntu Server 22.04
AST00197,IT-PC-0004,Workstation,Mary,IT,High,Ubuntu Linux
AST00198,FIN-FW-0004,Firewall,Timothy,Finance,Medium,Cisco ASA OS
AST00199,MKT-FW-0002,Firewall,Denise,Marketing,Low,Cisco ASA OS
AST00200,MKT-RTR-0002,Router,Lauren,Marketing,Low,JunOS
AST00201,SAL-FW-0004,Firewall,Christopher,Sales,Medium,FortiOS
AST00202,HR-IOT-0006,IoT Device,Donna,HR,Low,Embedded Firmware
AST00203,HR-FW-0002,Firewall,Renee,HR,Low,FortiOS
AST00204,SAL-DB-0003,Database,Kimberly,Sales,Low,Windows Server 2022
AST00205,SAL-DB-0004,Database,Karen,Sales,Medium,Oracle Linux
AST00206,OPS-LAP-0005,Laptop,Timothy,Operations,Critical,Windows 11
AST00207,OPS-FW-0007,Firewall,Gregory,Operations,Low,FortiOS
AST00208,ENG-PC-0007,Workstation,Kristina,Engineering,Medium,Ubuntu Linux
AST00209,LEG-SW-0007,Switch,Marvin,Legal,Critical,Arista EOS
AST00210,SAL-LAP-0001,Laptop,Lauren,Sales,Low,macOS Sonoma
AST00211,FIN-SW-0005,Switch,Teresa,Finance,Medium,Cisco IOS
AST00212,IT-DB-0002,Database,Randy,IT,Medium,Ubuntu Server 22.04
AST00213,LEG-LAP-0007,Laptop,Richard,Legal,Low,macOS Ventura
AST00214,IT-SW-0003,Switch,Stacey,IT,Medium,Arista EOS
AST00215,IT-SW-0004,Switch,Jenny,IT,Medium,Arista EOS
AST00216,HR-DB-0003,Database,George,HR,Low,Oracle Linux
AST00217,LEG-PC-0003,Workstation,David,Legal,Medium,Windows 11
AST00218,FIN-PC-0003,Workstation,Edward,Finance,Low,Ubuntu Linux
AST00219,FIN-IOT-0004,IoT Device,Rebecca,Finance,Medium,Embedded Firmware
AST00220,OPS-IOT-0002,IoT Device,Lindsay,Operations,Low,Embedded Firmware
AST00221,MKT-RTR-0003,Router,Dustin,Marketing,Low,Cisco IOS
AST00222,HR-FW-0003,Firewall,Margaret,HR,Low,FortiOS
AST00223,ENG-DB-0002,Database,Tina,Engineering,High,Ubuntu Server 22.04
AST00224,ENG-SRV-0004,Server,Diane,Engineering,Critical,Windows Server 2022
AST00225,HR-RTR-0006,Router,Michael,HR,High,Cisco IOS
AST00226,IT-SW-0005,Switch,Amy,IT,High,Arista EOS
AST00227,OPS-IOT-0003,IoT Device,David,Operations,Low,Embedded Firmware
AST00228,LEG-SRV-0003,Server,Alexis,Legal,Low,Windows Server 2019
AST00229,HR-PRT-0004,Printer,Tara,HR,Medium,Embedded Firmware
AST00230,SAL-DB-0005,Database,Debra,Sales,High,Windows Server 2022
AST00231,MKT-IOT-0003,IoT Device,Alisha,Marketing,Low,Embedded Firmware
AST00232,LEG-PRT-0003,Printer,Sarah,Legal,Critical,Embedded Firmware
AST00233,SAL-FW-0005,Firewall,Ryan,Sales,Low,PAN-OS
AST00234,IT-MOB-0005,Mobile Device,Monica,IT,High,iOS 17
AST00235,MKT-RTR-0004,Router,Margaret,Marketing,Low,JunOS
AST00236,OPS-RTR-0003,Router,Jason,Operations,High,Cisco IOS
AST00237,ENG-FW-0002,Firewall,Johnathan,Engineering,Low,Cisco ASA OS
AST00238,SAL-RTR-0005,Router,Kelly,Sales,High,Cisco IOS
AST00239,OPS-LAP-0006,Laptop,John,Operations,Medium,Windows 11
AST00240,IT-LAP-0007,Laptop,Brenda,IT,High,Windows 10
AST00241,FIN-PC-0004,Workstation,Jordan,Finance,Medium,Windows 10
AST00242,ENG-SW-0003,Switch,Robert,Engineering,Low,Arista EOS
AST00243,IT-LAP-0008,Laptop,David,IT,Low,Windows 11
AST00244,FIN-SW-0006,Switch,Renee,Finance,Medium,Cisco IOS
AST00245,ENG-IOT-0002,IoT Device,Michael,Engineering,Low,Embedded Firmware
AST00246,FIN-IOT-0005,IoT Device,Stephen,Finance,High,Embedded Firmware
AST00247,IT-PC-0005,Workstation,Brandy,IT,Medium,Windows 10
AST00248,HR-FW-0004,Firewall,Rebecca,HR,Critical,Cisco ASA OS
AST00249,IT-PC-0006,Workstation,Robert,IT,High,Windows 11
AST00250,OPS-SRV-0004,Server,Samantha,Operations,Medium,Windows Server 2019
AST00251,IT-PC-0007,Workstation,Walter,IT,High,Ubuntu Linux
AST00252,ENG-LAP-0004,Laptop,Amanda,Engineering,Medium,macOS Ventura
AST00253,SAL-MOB-0006,Mobile Device,Alexandra,Sales,Low,iOS 17
AST00254,LEG-RTR-0004,Router,Andrew,Legal,Medium,JunOS
AST00255,MKT-DB-0004,Database,Scott,Marketing,Critical,Ubuntu Server 22.04
AST00256,OPS-DB-0002,Database,Isaac,Operations,Medium,Ubuntu Server 22.04
AST00257,IT-DB-0003,Database,Adam,IT,High,Windows Server 2022
AST00258,HR-DB-0004,Database,Lauren,HR,Critical,Ubuntu Server 22.04
AST00259,FIN-LAP-0005,Laptop,Gerald,Finance,Medium,macOS Sonoma
AST00260,ENG-SRV-0005,Server,Thomas,Engineering,Low,Windows Server 2019
AST00261,SAL-DB-0006,Database,Jessica,Sales,Low,Oracle Linux
AST00262,OPS-MOB-0002,Mobile Device,Angela,Operations,Low,Android 14
AST00263,MKT-SRV-0002,Server,Mark,Marketing,Medium,Windows Server 2019
AST00264,FIN-DB-0003,Database,April,Finance,Medium,Windows Server 2022
AST00265,MKT-SRV-0003,Server,Angela,Marketing,High,Windows Server 2019
AST00266,ENG-SW-0004,Switch,Kristen,Engineering,Low,Arista EOS
AST00267,FIN-IOT-0006,IoT Device,Daniel,Finance,High,Embedded Firmware
AST00268,IT-IOT-0002,IoT Device,Ann,IT,Medium,Embedded Firmware
AST00269,ENG-SRV-0006,Server,John,Engineering,Medium,Windows Server 2019
AST00270,LEG-MOB-0003,Mobile Device,Joshua,Legal,Low,Android 14
AST00271,FIN-SRV-0005,Server,Kelsey,Finance,Low,Windows Server 2022
AST00272,HR-MOB-0003,Mobile Device,William,HR,High,iOS 17
AST00273,OPS-LAP-0007,Laptop,Anna,Operations,Medium,macOS Ventura
AST00274,MKT-DB-0005,Database,Kathleen,Marketing,Medium,Windows Server 2022
AST00275,LEG-DB-0003,Database,Rita,Legal,High,Ubuntu Server 22.04
AST00276,ENG-SRV-0007,Server,Scott,Engineering,Low,CentOS 7
AST00277,ENG-FW-0003,Firewall,Cheyenne,Engineering,Medium,FortiOS
AST00278,ENG-SRV-0008,Server,William,Engineering,High,CentOS 7
AST00279,FIN-LAP-0006,Laptop,William,Finance,Low,macOS Ventura
AST00280,OPS-LAP-0008,Laptop,Heather,Operations,High,Windows 10
AST00281,HR-SRV-0005,Server,Shaun,HR,Low,Ubuntu Server 22.04
AST00282,FIN-PC-0005,Workstation,Amanda,Finance,High,Windows 11
AST00283,SAL-PC-0001,Workstation,Timothy,Sales,High,Ubuntu Linux
AST00284,FIN-FW-0005,Firewall,Shelly,Finance,Low,PAN-OS
AST00285,MKT-SRV-0004,Server,Holly,Marketing,High,Windows Server 2022
AST00286,FIN-SW-0007,Switch,Nancy,Finance,Medium,Arista EOS
AST00287,SAL-SW-0001,Switch,Sheri,Sales,High,Arista EOS
AST00288,ENG-SRV-0009,Server,Jordan,Engineering,Low,CentOS 7
AST00289,IT-IOT-0003,IoT Device,Anita,IT,Low,Embedded Firmware
AST00290,OPS-SW-0002,Switch,Sherry,Operations,Low,Cisco IOS
AST00291,LEG-SRV-0004,Server,Mary,Legal,Medium,Ubuntu Server 22.04
AST00292,OPS-DB-0003,Database,Derrick,Operations,Low,Ubuntu Server 22.04
AST00293,FIN-MOB-0006,Mobile Device,David,Finance,Low,Android 14
AST00294,ENG-MOB-0005,Mobile Device,Scott,Engineering,Medium,iOS 17
AST00295,MKT-MOB-0003,Mobile Device,Charles,Marketing,Medium,Android 14
AST00296,OPS-RTR-0004,Router,John,Operations,Medium,JunOS
AST00297,SAL-SW-0002,Switch,Charles,Sales,Medium,Cisco IOS
AST00298,ENG-FW-0004,Firewall,Elizabeth,Engineering,Low,FortiOS
AST00299,HR-RTR-0007,Router,Kristen,HR,High,JunOS
AST00300,MKT-IOT-0004,IoT Device,Penny,Marketing,Critical,Embedded Firmware
AST00301,HR-PC-0005,Workstation,Eric,HR,Low,Windows 11
AST00302,LEG-DB-0004,Database,Jennifer,Legal,Medium,Windows Server 2022
AST00303,SAL-PRT-0002,Printer,Donna,Sales,Low,Embedded Firmware
AST00304,HR-PC-0006,Workstation,Douglas,HR,Low,Windows 11
AST00305,MKT-LAP-0002,Laptop,Nicole,Marketing,Medium,Windows 11
AST00306,LEG-IOT-0001,IoT Device,Tammy,Legal,Medium,Embedded Firmware
AST00307,IT-SW-0006,Switch,Jeffrey,IT,Medium,Arista EOS
AST00308,SAL-SRV-0003,Server,Stephanie,Sales,Low,Windows Server 2022
AST00309,SAL-PRT-0003,Printer,Raymond,Sales,Low,Embedded Firmware
AST00310,MKT-DB-0006,Database,Tony,Marketing,High,Windows Server 2022
AST00311,HR-MOB-0004,Mobile Device,Veronica,HR,High,Android 14
AST00312,ENG-FW-0005,Firewall,Marissa,Engineering,Low,Cisco ASA OS
AST00313,HR-PC-0007,Workstation,Evan,HR,Medium,Windows 11
AST00314,SAL-FW-0006,Firewall,Ryan,Sales,Low,Cisco ASA OS
AST00315,HR-IOT-0007,IoT Device,Zachary,HR,Medium,Embedded Firmware
AST00316,SAL-DB-0007,Database,Matthew,Sales,Low,Oracle Linux
AST00317,LEG-IOT-0002,IoT Device,James,Legal,Low,Embedded Firmware
AST00318,FIN-RTR-0003,Router,Lucas,Finance,Medium,JunOS
AST00319,HR-DB-0005,Database,Jennifer,HR,High,Oracle Linux
AST00320,ENG-LAP-0005,Laptop,Andrew,Engineering,High,macOS Ventura
AST00321,SAL-FW-0007,Firewall,Angela,Sales,Critical,PAN-OS
AST00322,IT-PC-0008,Workstation,Scott,IT,Low,Ubuntu Linux
AST00323,MKT-PC-0002,Workstation,Andrew,Marketing,Low,Ubuntu Linux
AST00324,LEG-MOB-0004,Mobile Device,Martin,Legal,Critical,Android 14
AST00325,IT-LAP-0009,Laptop,Claire,IT,High,Windows 10
AST00326,SAL-RTR-0006,Router,William,Sales,Critical,Cisco IOS
AST00327,SAL-SW-0003,Switch,Caleb,Sales,Low,Arista EOS
AST00328,OPS-IOT-0004,IoT Device,Traci,Operations,Low,Embedded Firmware
AST00329,ENG-MOB-0006,Mobile Device,Kristina,Engineering,High,iOS 17
AST00330,LEG-FW-0003,Firewall,Teresa,Legal,Medium,PAN-OS
AST00331,IT-DB-0004,Database,Daniel,IT,Medium,Windows Server 2022
AST00332,SAL-SRV-0004,Server,Joseph,Sales,Low,Windows Server 2019
AST00333,FIN-IOT-0007,IoT Device,Benjamin,Finance,Critical,Embedded Firmware
AST00334,SAL-PC-0002,Workstation,Kimberly,Sales,Low,Windows 10
AST00335,HR-LAP-0003,Laptop,Joseph,HR,High,Windows 10
AST00336,OPS-FW-0008,Firewall,David,Operations,High,FortiOS
AST00337,FIN-DB-0004,Database,Robert,Finance,Low,Windows Server 2022
AST00338,IT-LAP-0010,Laptop,Rhonda,IT,Low,Windows 10
AST00339,MKT-PRT-0003,Printer,Lori,Marketing,Low,Embedded Firmware
AST00340,IT-RTR-0002,Router,Jonathan,IT,Medium,JunOS
AST00341,MKT-PC-0003,Workstation,Edward,Marketing,Medium,Windows 11
AST00342,HR-SW-0003,Switch,Samantha,HR,Critical,Arista EOS
AST00343,MKT-IOT-0005,IoT Device,Ashley,Marketing,High,Embedded Firmware
AST00344,HR-DB-0006,Database,Jackie,HR,Medium,Windows Server 2022
AST00345,OPS-PRT-0004,Printer,Christopher,Operations,High,Embedded Firmware
AST00346,FIN-IOT-0008,IoT Device,Brian,Finance,High,Embedded Firmware
AST00347,LEG-PC-0004,Workstation,Haley,Legal,Medium,Windows 11
AST00348,HR-PC-0008,Workstation,Ronald,HR,Medium,Windows 10
AST00349,ENG-SRV-0010,Server,Charles,Engineering,Critical,Ubuntu Server 22.04
AST00350,MKT-IOT-0006,IoT Device,Shawna,Marketing,Critical,Embedded Firmware
AST00351,IT-FW-0002,Firewall,Cynthia,IT,Medium,Cisco ASA OS
AST00352,FIN-PRT-0004,Printer,Laurie,Finance,High,Embedded Firmware
